tournament,men_women,player,odds
Australian Open 2013,Women,Ashleigh Barty,1e3
Australian Open 2014,Women,Serena Williams,1.75
Australian Open 2014,Women,Victoria Azarenka,7.4
Australian Open 2014,Women,Maria Sharapova,16.5
Australian Open 2014,Women,Na Li,16.5
Australian Open 2014,Women,Petra Kvitova,27
Australian Open 2014,Women,Angelique Kerber,75
Australian Open 2014,Women,Agnieszka Radwanska,75
Australian Open 2014,Women,Simona Halep,75
Australian Open 2014,Women,Samantha Stosur,80
Australian Open 2014,Women,Sloane Stephens,90
Australian Open 2014,Women,Jelena Jankovic,100
Australian Open 2014,Women,Sabine Lisicki,120
Australian Open 2014,Women,Caroline Wozniacki,140
Australian Open 2014,Women,Ana Ivanovic,150
Australian Open 2014,Women,Tsvetana Pironkova,180
Australian Open 2014,Women,Svetlana Kuznetsova,200
Australian Open 2014,Women,Eugenie Bouchard,220
Australian Open 2014,Women,Garbine Muguruza,270
Australian Open 2014,Women,Madison Keys,270
Australian Open 2014,Women,Venus Williams,300
Australian Open 2014,Women,Ekaterina Makarova,300
Australian Open 2014,Women,Vera Zvonareva,310
Australian Open 2014,Women,Andrea Petkovic,480
Australian Open 2014,Women,Kaia Kanepi,510
Australian Open 2014,Women,Bethanie Mattek Sands,530
Australian Open 2014,Women,Sara Errani,630
Australian Open 2014,Women,Laura Robson,650
Australian Open 2014,Women,Shuai Zhang,750
Australian Open 2014,Women,Carla Suarez Navarro,770
Australian Open 2014,Women,Sorana Cirstea,860
Australian Open 2014,Women,Jamie Hampton,950
Australian Open 2014,Women,Elina Svitolina,1e3
Australian Open 2014,Women,Julia Goerges,1e3
Australian Open 2014,Women,Misaki Doi,1e3
Australian Open 2014,Women,Lauren Davis,1e3
Australian Open 2014,Women,Jie Zheng,1e3
Australian Open 2014,Women,Alize Cornet,1e3
Australian Open 2014,Women,Elena Vesnina,1e3
Australian Open 2014,Women,Stefanie Voegele,1e3
Australian Open 2014,Women,Christina McHale,1e3
Australian Open 2014,Women,Lucie Safarova,1e3
Australian Open 2014,Women,Maria Kirilenko,1e3
Australian Open 2014,Women,Timea Babos,1e3
Australian Open 2014,Women,Kristina Mladenovic,1e3
Australian Open 2014,Women,Francesca Schiavone,1e3
Australian Open 2014,Women,Ashleigh Barty,1e3
Australian Open 2014,Women,Kirsten Flipkens,1e3
Australian Open 2014,Women,Caroline Garcia,1e3
Australian Open 2014,Women,Annika Beck,1e3
Australian Open 2014,Women,Virginie Razzano,1e3
Australian Open 2014,Women,Lesia Tsurenko,1e3
Australian Open 2014,Women,Dominika Cibulkova,1e3
Australian Open 2014,Women,Petra Martic,1e3
Australian Open 2014,Women,Monica Puig,1e3
Australian Open 2014,Women,Varvara Lepchenko,1e3
Australian Open 2014,Women,Mona Barthel,1e3
Australian Open 2014,Women,Camila Giorgi,1e3
Australian Open 2014,Women,Yanina Wickmayer,1e3
Australian Open 2014,Women,Pauline Parmentier,1e3
Australian Open 2014,Women,Donna Vekic,1e3
Australian Open 2014,Women,Bojana Jovanovski,1e3
Australian Open 2014,Women,Yaroslava Shvedova,1e3
Australian Open 2014,Women,Roberta Vinci,1e3
Australian Open 2014,Women,Nadia Petrova,1e3
Australian Open 2014,Women,Daniela Hantuchova,1e3
Australian Open 2014,Women,Magdalena Rybarikova,1e3
Australian Open 2014,Women,Alison Riske,1e3
Australian Open 2014,Women,Klara Zakopalova,1e3
Australian Open 2014,Women,Yvonne Meusburger,1e3
Australian Open 2014,Women,Karolina Pliskova,1e3
Australian Open 2014,Women,Anastasia Pavlyuchenkova,1e3
Australian Open 2014,Women,Flavia Pennetta,1e3
Australian Open 2015,Women,Serena Williams,4.5
Australian Open 2015,Women,Maria Sharapova,5.8
Australian Open 2015,Women,Simona Halep,10
Australian Open 2015,Women,Petra Kvitova,10
Australian Open 2015,Women,Eugenie Bouchard,14
Australian Open 2015,Women,Victoria Azarenka,24
Australian Open 2015,Women,Ana Ivanovic,25
Australian Open 2015,Women,Caroline Wozniacki,25
Australian Open 2015,Women,Agnieszka Radwanska,25
Australian Open 2015,Women,Garbine Muguruza,40
Australian Open 2015,Women,Karolina Pliskova,55
Australian Open 2015,Women,Angelique Kerber,55
Australian Open 2015,Women,Venus Williams,75
Australian Open 2015,Women,Madison Keys,90
Australian Open 2015,Women,Lucie Safarova,100
Australian Open 2015,Women,Samantha Stosur,120
Australian Open 2015,Women,Ekaterina Makarova,130
Australian Open 2015,Women,Elina Svitolina,140
Australian Open 2015,Women,Roberta Vinci,150
Australian Open 2015,Women,Sabine Lisicki,170
Australian Open 2015,Women,Flavia Pennetta,210
Australian Open 2015,Women,Vera Zvonareva,210
Australian Open 2015,Women,Dominika Cibulkova,220
Australian Open 2015,Women,Sorana Cirstea,260
Australian Open 2015,Women,Sloane Stephens,270
Australian Open 2015,Women,Daniela Hantuchova,290
Australian Open 2015,Women,Alize Cornet,300
Australian Open 2015,Women,Jelena Jankovic,400
Australian Open 2015,Women,Andrea Petkovic,400
Australian Open 2015,Women,Tsvetana Pironkova,430
Australian Open 2015,Women,Barbora Zahlavova Strycova,450
Australian Open 2015,Women,Anastasia Pavlyuchenkova,460
Australian Open 2015,Women,Kaia Kanepi,500
Australian Open 2015,Women,Belinda Bencic,500
Australian Open 2015,Women,Shuai Peng,540
Australian Open 2015,Women,Camila Giorgi,550
Australian Open 2015,Women,Carla Suarez Navarro,550
Australian Open 2015,Women,Heather Watson,600
Australian Open 2015,Women,Varvara Lepchenko,640
Australian Open 2015,Women,Svetlana Kuznetsova,670
Australian Open 2015,Women,Elena Vesnina,670
Australian Open 2015,Women,Sara Errani,810
Australian Open 2015,Women,Daria Gavrilova,910
Australian Open 2015,Women,Jarmila Gajdosova,950
Australian Open 2015,Women,Zarina Diyas,990
Australian Open 2015,Women,Kristina Mladenovic,1e3
Australian Open 2015,Women,Taylor Townsend,1e3
Australian Open 2015,Women,Julia Goerges,1e3
Australian Open 2015,Women,Christina McHale,1e3
Australian Open 2015,Women,Monica Puig,1e3
Australian Open 2015,Women,Kiki Bertens,1e3
Australian Open 2015,Women,Casey Dellacqua,1e3
Australian Open 2015,Women,Timea Babos,1e3
Australian Open 2015,Women,Ana Konjuh,1e3
Australian Open 2015,Women,Kirsten Flipkens,1e3
Australian Open 2015,Women,Timea Bacsinszky,1e3
Australian Open 2015,Women,Yanina Wickmayer,1e3
Australian Open 2015,Women,Ajla Tomljanovic,1e3
Australian Open 2015,Women,Kurumi Nara,1e3
Australian Open 2015,Women,Aleksandra Krunic,1e3
Australian Open 2015,Women,Bethanie Mattek Sands,1e3
Australian Open 2015,Women,Caroline Garcia,1e3
Australian Open 2015,Women,Pauline Parmentier,1e3
Australian Open 2015,Women,Coco Vandeweghe,1e3
Australian Open 2015,Women,Lesia Tsurenko,1e3
Australian Open 2015,Women,Stefanie Voegele,1e3
Australian Open 2015,Women,Saisai Zheng,1e3
Australian Open 2015,Women,Alison Riske,1e3
Australian Open 2015,Women,Mirjana Lucic Baroni,1e3
Australian Open 2015,Women,Yaroslava Shvedova,1e3
Australian Open 2015,Women,Jie Zheng,1e3
Australian Open 2015,Women,Lauren Davis,1e3
Australian Open 2015,Women,Mona Barthel,1e3
Australian Open 2015,Women,Kimiko Date Krumm,1e3
Australian Open 2015,Women,Carina Witthoeft,1e3
Australian Open 2015,Women,Ashleigh Barty,1e3
Australian Open 2015,Women,Shuai Zhang,1e3
Australian Open 2015,Women,Bojana Jovanovski,1e3
Australian Open 2015,Women,Karin Knapp,1e3
Australian Open 2015,Women,Nicole Gibbs,1e3
Australian Open 2015,Women,Klara Koukalova,1e3
Australian Open 2015,Women,Madison Brengle,1e3
Australian Open 2016,Women,Serena Williams,4.2
Australian Open 2016,Women,Victoria Azarenka,5.3
Australian Open 2016,Women,Simona Halep,11.5
Australian Open 2016,Women,Maria Sharapova,12.5
Australian Open 2016,Women,Petra Kvitova,19.5
Australian Open 2016,Women,Agnieszka Radwanska,20
Australian Open 2016,Women,Garbine Muguruza,20
Australian Open 2016,Women,Belinda Bencic,32
Australian Open 2016,Women,Angelique Kerber,42
Australian Open 2016,Women,Sloane Stephens,44
Australian Open 2016,Women,Karolina Pliskova,55
Australian Open 2016,Women,Madison Keys,60
Australian Open 2016,Women,Venus Williams,70
Australian Open 2016,Women,Caroline Wozniacki,80
Australian Open 2016,Women,Eugenie Bouchard,85
Australian Open 2016,Women,Ekaterina Makarova,85
Australian Open 2016,Women,Svetlana Kuznetsova,100
Australian Open 2016,Women,Ana Ivanovic,100
Australian Open 2016,Women,Lucie Safarova,110
Australian Open 2016,Women,Alize Cornet,140
Australian Open 2016,Women,Dominika Cibulkova,150
Australian Open 2016,Women,Caroline Garcia,210
Australian Open 2016,Women,Jelena Jankovic,230
Australian Open 2016,Women,Sabine Lisicki,250
Australian Open 2016,Women,Roberta Vinci,250
Australian Open 2016,Women,Monica Puig,300
Australian Open 2016,Women,Samantha Stosur,300
Australian Open 2016,Women,Elina Svitolina,320
Australian Open 2016,Women,Coco Vandeweghe,330
Australian Open 2016,Women,Timea Bacsinszky,390
Australian Open 2016,Women,Carla Suarez Navarro,400
Australian Open 2016,Women,Camila Giorgi,460
Australian Open 2016,Women,Kristina Mladenovic,470
Australian Open 2016,Women,Sara Errani,500
Australian Open 2016,Women,Anastasia Pavlyuchenkova,500
Australian Open 2016,Women,Johanna Konta,550
Australian Open 2016,Women,Daria Gavrilova,570
Australian Open 2016,Women,Samantha Crawford,600
Australian Open 2016,Women,Andrea Petkovic,600
Australian Open 2016,Women,Irina Camelia Begu,830
Australian Open 2016,Women,Julia Goerges,990
Australian Open 2016,Women,Daniela Hantuchova,1e3
Australian Open 2016,Women,Shuai Peng,1e3
Australian Open 2016,Women,Varvara Lepchenko,1e3
Australian Open 2016,Women,Mona Barthel,1e3
Australian Open 2016,Women,Kiki Bertens,1e3
Australian Open 2016,Women,Alison Riske,1e3
Australian Open 2016,Women,Flavia Pennetta,1e3
Australian Open 2016,Women,Zarina Diyas,1e3
Australian Open 2016,Women,Polona Hercog,1e3
Australian Open 2016,Women,Heather Watson,1e3
Australian Open 2017,Women,Serena Williams,4.5
Australian Open 2017,Women,Angelique Kerber,5.5
Australian Open 2017,Women,Karolina Pliskova,8.6
Australian Open 2017,Women,Garbine Muguruza,11
Australian Open 2017,Women,Simona Halep,14.5
Australian Open 2017,Women,Johanna Konta,21
Australian Open 2017,Women,Agnieszka Radwanska,24
Australian Open 2017,Women,Dominika Cibulkova,34
Australian Open 2017,Women,Caroline Wozniacki,42
Australian Open 2017,Women,Elina Svitolina,44
Australian Open 2017,Women,Svetlana Kuznetsova,65
Australian Open 2017,Women,Daria Kasatkina,85
Australian Open 2017,Women,Monica Puig,100
Australian Open 2017,Women,Eugenie Bouchard,100
Australian Open 2017,Women,Belinda Bencic,130
Australian Open 2017,Women,Caroline Garcia,160
Australian Open 2017,Women,Venus Williams,160
Australian Open 2017,Women,Barbora Strycova,180
Australian Open 2017,Women,Kristyna Pliskova,200
Australian Open 2017,Women,Ekaterina Makarova,210
Australian Open 2017,Women,Samantha Stosur,210
Australian Open 2017,Women,Kristina Mladenovic,220
Australian Open 2017,Women,Coco Vandeweghe,250
Australian Open 2017,Women,Daria Gavrilova,250
Australian Open 2017,Women,Anastasia Pavlyuchenkov,250
Australian Open 2017,Women,Lucie Safarova,290
Australian Open 2017,Women,Jelena Ostapenko,300
Australian Open 2017,Women,Katerina Siniakova,300
Australian Open 2017,Women,Kiki Bertens,330
Australian Open 2017,Women,Lauren Davis,330
Australian Open 2017,Women,Andrea Petkovic,360
Australian Open 2017,Women,Naomi Osaka,390
Australian Open 2017,Women,Roberta Vinci,400
Australian Open 2017,Women,Alize Cornet,400
Australian Open 2017,Women,Shuai Zhang,420
Australian Open 2017,Women,Carla Suarez Navarro,450
Australian Open 2017,Women,Jelena Jankovic,500
Australian Open 2017,Women,Ana Konjuh,500
Australian Open 2017,Women,Timea Bacsinsky,510
Australian Open 2017,Women,Alison Riske,570
Australian Open 2017,Women,Elena Vesnina,610
Australian Open 2017,Women,Shelby Rogers,730
Australian Open 2017,Women,Laura Siegemund,870
Australian Open 2017,Women,Kristina Kucova,1e3
Australian Open 2017,Women,Kateryna Bondarenko,1e3
Australian Open 2017,Women,Ying Ying Duan,1e3
Australian Open 2017,Women,Viktorija Golubic,1e3
Australian Open 2017,Women,Yulia Putintseva,1e3
Australian Open 2017,Women,Sara Errani,1e3
Australian Open 2017,Women,Yaroslava Shvedova,1e3
Australian Open 2017,Women,Ashleigh Barty,1e3
Australian Open 2017,Women,Karin Knapp,1e3
Australian Open 2017,Women,Lesia Tsurenko,1e3
Australian Open 2017,Women,Arina Rodionova,1e3
Australian Open 2017,Women,Irina Camelia Begu,1e3
Australian Open 2017,Women,Misaki Doi,1e3
Australian Open 2017,Women,Carina Witthoeft,1e3
Australian Open 2017,Women,Heather Watson,1e3
Australian Open 2017,Women,Francesca Schiavone,1e3
Australian Open 2017,Women,Anastasija Sevastova,1e3
Australian Open 2017,Women,Christina McHale,1e3
Australian Open 2017,Women,Destanee Aiava,1e3
Australian Open 2017,Women,Tsvetana Pironkova,1e3
Australian Open 2017,Women,Jan Cepelova,1e3
Australian Open 2017,Women,Denisa Allertova,1e3
Australian Open 2017,Women,Kateryna Kozlova,1e3
Australian Open 2017,Women,Annika Beck,1e3
Australian Open 2017,Women,Mirjana Lucic Baroni,1e3
Australian Open 2017,Women,Julia Goerges,1e3
Australian Open 2017,Women,Maria Sakkari,1e3
Australian Open 2017,Women,Yanina Wickmayer,1e3
Australian Open 2017,Women,Timea Babos,1e3
Australian Open 2018,Women,Elina Svitolina,8.8
Australian Open 2018,Women,Simona Halep,9
Australian Open 2018,Women,Karolina Pliskova,11
Australian Open 2018,Women,Angelique Kerber,12
Australian Open 2018,Women,Caroline Wozniacki,12.5
Australian Open 2018,Women,Garbine Muguruza,15
Australian Open 2018,Women,Maria Sharapova,15.5
Australian Open 2018,Women,Julia Goerges,28
Australian Open 2018,Women,Madison Keys,29
Australian Open 2018,Women,CoCo Vandeweghe,34
Australian Open 2018,Women,Johanna Konta,38
Australian Open 2018,Women,Petra Kvitova,42
Australian Open 2018,Women,Venus Williams,42
Australian Open 2018,Women,Ashleigh Barty,48
Australian Open 2018,Women,Jelena Ostapenko,50
Australian Open 2018,Women,Caroline Garcia,50
Australian Open 2018,Women,Belinda Bencic,55
Australian Open 2018,Women,Dominika Cibulkova,75
Australian Open 2018,Women,Agnieszka Radwanska,95
Australian Open 2018,Women,Sloane Stephens,95
Australian Open 2018,Women,Anastasija Sevastova,110
Australian Open 2018,Women,Camila Giorgi,110
Australian Open 2018,Women,Daria Kasatkina,150
Australian Open 2018,Women,Daria Gavrilova,150
Australian Open 2018,Women,Katerina Siniakova,160
Australian Open 2018,Women,Kaia Kanepi,200
Australian Open 2018,Women,Anastasia Pavlyuchenkova,270
Australian Open 2018,Women,Naomi Osaka,300
Australian Open 2018,Women,Elise Mertens,320
Australian Open 2018,Women,Kristina Mladenovic,320
Australian Open 2018,Women,Ekaterina Makarova,320
Australian Open 2018,Women,Anett Kontaveit,320
Australian Open 2018,Women,Lucie Safarova,350
Australian Open 2018,Women,Aryna Sabalenka,350
Australian Open 2018,Women,Catherine Bellis,400
Australian Open 2018,Women,Marketa Vondrousova,400
Australian Open 2018,Women,Barbora Strycova,500
Australian Open 2018,Women,Samantha Stosur,510
Australian Open 2018,Women,Shuai Zhang,510
Australian Open 2018,Women,Aliaksandra Sasnovich,510
Australian Open 2018,Women,Eugenie Bouchard,520
Australian Open 2018,Women,Elena Vesnina,550
Australian Open 2018,Women,Magdalena Rybarikova,650
Australian Open 2018,Women,Monica Puig,700
Australian Open 2018,Women,Shuai Peng,750
Australian Open 2018,Women,Lesia Tsurenko,900
Australian Open 2018,Women,Mihaela Buzarnescu,940
Australian Open 2018,Women,Su Wei Hsieh,1e3
Australian Open 2018,Women,Sofia Kenin,1e3
Australian Open 2018,Women,Olivia Rogowska,1e3
Australian Open 2018,Women,Mirjana Lucic Baroni,1e3
Australian Open 2018,Women,Lara Arruabarrena,1e3
Australian Open 2018,Women,Irina Camelia Begu,1e3
Australian Open 2018,Women,Yulia Putintseva,1e3
Australian Open 2018,Women,Kiki Bertens,1e3
Australian Open 2018,Women,Magda Linette,1e3
Australian Open 2018,Women,Varvara Lepchenko,1e3
Australian Open 2018,Women,Heather Watson,1e3
Australian Open 2018,Women,Alize Cornet,1e3
Australian Open 2018,Women,Taylor Townsend,1e3
Australian Open 2018,Women,Shelby Rogers,1e3
Australian Open 2018,Women,Destanee Aiava,1e3
Australian Open 2018,Women,Andrea Petkovic,1e3
Australian Open 2018,Women,Petra Martic,1e3
Australian Open 2018,Women,Maria Sakkari,1e3
Australian Open 2018,Women,Ana Bogdan,1e3
Australian Open 2018,Women,Christina McHale,1e3
Australian Open 2018,Women,Alison Riske,1e3
Australian Open 2018,Women,Ajla Tomljanovic,1e3
Australian Open 2018,Women,Timea Babos,1e3
Australian Open 2018,Women,Natalia Vikhlyantseva,1e3
Australian Open 2018,Women,Kristyna Pliskova,1e3
Australian Open 2018,Women,Qiang Wang,1e3
Australian Open 2018,Women,Donna Vekic,1e3
Australian Open 2018,Women,Carla Suarez Navarro,1e3
Australian Open 2018,Women,Aleksandra Krunic,1e3
Australian Open 2018,Women,Sorana Cirstea,1e3
