tournament,men_women,match_date,player_1,player_1_odds,player_2,player_2_odds
Australian Open 2012,Men,2012-01-22,Bernard Tomic,10,Roger Federer,1.09
Australian Open 2012,Men,2012-01-23,David Ferrer,1.52,Richard Gasquet,2.86
Australian Open 2012,Men,2012-01-23,Jo Wilfried Tsonga,1.24,Kei Nishikori,4.8999999999999995
Australian Open 2012,Men,2012-01-23,Andy Murray,1.02,Mikhail Kukushkin,29
Australian Open 2012,Men,2012-01-23,Lleyton Hewitt,27,Novak Djokovic,1.02
Australian Open 2012,Men,2012-01-24,Rafael Nadal,1.25,Tomas Berdych,4.699999999999999
Australian Open 2012,Men,2012-01-24,Juan Martin Del Potro,4,Roger Federer,1.31
Australian Open 2012,Men,2012-01-25,Andy Murray,1.06,Kei Nishikori,13.5
Australian Open 2012,Men,2012-01-25,David Ferrer,8.8,Novak Djokovic,1.11
Australian Open 2012,Men,2012-01-26,Rafael Nadal,2.58,Roger Federer,1.62
Australian Open 2012,Men,2012-01-27,Andy Murray,3.3499999999999996,Novak Djokovic,1.4100000000000001
Australian Open 2012,Men,2012-01-29,Novak Djokovic,1.7000000000000002,Rafael Nadal,2.38
Australian Open 2013,Men,2013-01-14,Ryan Harrison,1.79,Santiago Giraldo,2.1
Australian Open 2013,Men,2013-01-14,Radek Stepanek,2.66,Viktor Troicki,1.56
Australian Open 2013,Men,2013-01-14,Flavio Cipolla,3.3499999999999996,Tobias Kamke,1.31
Australian Open 2013,Men,2013-01-15,Benoit Paire,36,Roger Federer,1.02
Australian Open 2013,Men,2013-01-15,Bernard Tomic,1.06,Leonardo Mayer,13
Australian Open 2013,Men,2013-01-14,Kevin Anderson,1.11,Paolo Lorenzi,8.600000000000001
Australian Open 2013,Men,2013-01-15,Aljaz Bedene,1.75,Benjamin Becker,2.26
Australian Open 2013,Men,2013-01-14,Andrey Kuznetsov,4,Juan Monaco,1.29
Australian Open 2013,Men,2013-01-15,Grega Zemlja,2.26,Marcel Granollers,1.6
Australian Open 2013,Men,2013-01-14,Pablo Andujar,4.8999999999999995,Xavier Malisse,1.24
Australian Open 2013,Men,2013-01-15,Andreas Seppi,1.26,Horacio Zeballos,4.6
Australian Open 2013,Men,2013-01-14,David Goffin,2.32,Fernando Verdasco,1.63
Australian Open 2013,Men,2013-01-14,Jurgen Melzer,1.16,Mikhail Kukushkin,6.2
Australian Open 2013,Men,2013-01-15,Denis Istomin,1.5,Igor Sijsling,2.8
Australian Open 2013,Men,2013-01-14,Fabio Fognini,1.92,Roberto Bautista Agut,2.04
Australian Open 2013,Men,2013-01-15,Marin Cilic,1.18,Marinko Matosevic,6
Australian Open 2013,Men,2013-01-15,Filippo Volandri,17.5,Gilles Simon,1.04
Australian Open 2013,Men,2013-01-15,Jesse Levine,1.78,Tommy Robredo,2.22
Australian Open 2013,Men,2013-01-15,Ruben Ramirez Hidalgo,12.5,Yen Hsun Lu,1.07
Australian Open 2013,Men,2013-01-14,Michael Russell,18.5,Tomas Berdych,1.03
Australian Open 2013,Men,2013-01-15,Alexandr Dolgopolov,1.6400000000000001,Gael Monfils,2.5
Australian Open 2013,Men,2013-01-14,David Ferrer,1.02,Olivier Rochus,27
Australian Open 2013,Men,2013-01-15,Florian Mayer,1.17,Rhyne Williams,6.4
Australian Open 2013,Men,2013-01-14,John Millman,1.3,Tatsuma Ito,3.9499999999999997
Australian Open 2013,Men,2013-01-15,Joao Sousa,1.77,John Patrick Smith,2.26
Australian Open 2013,Men,2013-01-14,Albert Ramos,9.2,Marcos Baghdatis,1.12
Australian Open 2013,Men,2013-01-15,Andy Murray,1.02,Robin Haase,38
Australian Open 2013,Men,2013-01-14,Matthew Ebden,5.3,Mikhail Youzhny,1.22
Australian Open 2013,Men,2013-01-15,Philipp Kohlschreiber,1.13,Steve Darcis,7.4
Australian Open 2013,Men,2013-01-14,Adrian Ungur,3.75,Evgeny Donskoy,1.25
Australian Open 2013,Men,2013-01-15,Jo Wilfried Tsonga,1.12,Michael Llodra,9
Australian Open 2013,Men,2013-01-14,Kei Nishikori,1.1,Victor Hanescu,10
Australian Open 2013,Men,2013-01-15,Go Soeda,1.15,Luke Saville,7
Australian Open 2013,Men,2013-01-14,Daniel Gimeno Traver,3.9499999999999997,Lukasz Kubot,1.31
Australian Open 2013,Men,2013-01-15,Benjamin Mitchell,2.66,James Duckworth,1.5
Australian Open 2013,Men,2013-01-14,Bjorn Phau,1.3900000000000001,Somdev Devvarman,3.0999999999999996
Australian Open 2013,Men,2013-01-15,Blaz Kavcic,3.4499999999999997,Thomaz Bellucci,1.38
Australian Open 2013,Men,2013-01-14,Jerzy Janowicz,1.35,Simone Bolelli,3.55
Australian Open 2013,Men,2013-01-15,Jarkko Nieminen,3.1999999999999997,Tommy Haas,1.4
Australian Open 2013,Men,2013-01-14,Grigor Dimitrov,1.6,Julien Benneteau,2.6
Australian Open 2013,Men,2013-01-15,Di Wu,5.5,Ivan Dodig,1.21
Australian Open 2013,Men,2013-01-15,Alejandro Falla,1.35,Josselin Ouanna,3.65
Australian Open 2013,Men,2013-01-14,Gilles Muller,2.62,Lukas Lacko,1.54
Australian Open 2013,Men,2013-01-14,Janko Tipsarevic,1.7000000000000002,Lleyton Hewitt,2.4
Australian Open 2013,Men,2013-01-15,Albert Montanes,24,Richard Gasquet,1.03
Australian Open 2013,Men,2013-01-15,Jan Hajek,19.5,Milos Raonic,1.04
Australian Open 2013,Men,2013-01-15,Adrian Mannarino,13,Juan Martin Del Potro,1.06
Australian Open 2013,Men,2013-01-14,Arnau Brugues Davi,3.8499999999999996,Feliciano Lopez,1.24
Australian Open 2013,Men,2013-01-14,Daniel Munoz De La Nava,5.1,Sam Querrey,1.08
Australian Open 2013,Men,2013-01-14,Alex Bogomolov Jr,2.06,Brian Baker,1.85
Australian Open 2013,Men,2013-01-14,Cedrik Marcel Stebe,6.6000000000000005,Stanislas Wawrinka,1.15
Australian Open 2013,Men,2013-01-14,Guillaume Rufin,2.34,Julian Reister,1.71
Australian Open 2013,Men,2013-01-14,Carlos Berlocq,2.18,Maxime Authom,1.7000000000000002
Australian Open 2013,Men,2013-01-14,Nicolas Almagro,1.19,Steve Johnson,5.8
Australian Open 2013,Men,2013-01-14,Edouard Roger Vasselin,2.24,Ruben Bemelmans,1.78
Australian Open 2013,Men,2013-01-14,Ivo Karlovic,1.73,Tim Smyczek,2.2
Australian Open 2013,Men,2013-01-15,Adrian Menendez Maceiras,3.15,Jeremy Chardy,1.31
Australian Open 2013,Men,2013-01-15,Guillermo Garcia Lopez,1.46,Rajeev Ram,3
Australian Open 2013,Men,2013-01-15,Amir Weintraub,2.14,Guido Pella,1.85
Australian Open 2013,Men,2013-01-15,Ricardas Berankis,1.55,Sergiy Stakhovsky,2.66
Australian Open 2013,Men,2013-01-15,Daniel Brands,1.8,Martin Klizan,2.14
Australian Open 2013,Men,2013-01-15,Dudi Sela,3.1999999999999997,Nikolay Davydenko,1.27
Australian Open 2013,Men,2013-01-15,Jamie Baker,3.4,Lukas Rosol,1.3900000000000001
Australian Open 2013,Men,2013-01-16,Daniel Gimeno Traver,10.5,Nicolas Almagro,1.09
Australian Open 2013,Men,2013-01-16,Carlos Berlocq,14.5,Kei Nishikori,1.07
Australian Open 2013,Men,2013-01-16,Edouard Roger Vasselin,5.5,Julien Benneteau,1.21
Australian Open 2013,Men,2013-01-16,Guillaume Rufin,22,Tomas Berdych,1.02
Australian Open 2013,Men,2013-01-16,Fernando Verdasco,1.58,Xavier Malisse,2.6
Australian Open 2013,Men,2013-01-16,Stanislas Wawrinka,1.1400000000000001,Tobias Kamke,6.6000000000000005
Australian Open 2013,Men,2013-01-16,Evgeny Donskoy,3.6999999999999997,Mikhail Youzhny,1.36
Australian Open 2013,Men,2013-01-16,David Ferrer,1.01,Tim Smyczek,48
Australian Open 2013,Men,2013-01-16,Jerzy Janowicz,1.22,Somdev Devvarman,5.1
Australian Open 2013,Men,2013-01-16,Andrey Kuznetsov,5.8999999999999995,Kevin Anderson,1.18
Australian Open 2013,Men,2013-01-16,Brian Baker,5.699999999999999,Sam Querrey,1.21
Australian Open 2013,Men,2013-01-16,Jurgen Melzer,1.74,Roberto Bautista Agut,2.18
Australian Open 2013,Men,2013-01-16,Janko Tipsarevic,1.17,Lukas Lacko,6.800000000000001
Australian Open 2013,Men,2013-01-16,Feliciano Lopez,1.8900000000000001,Radek Stepanek,2.08
Australian Open 2013,Men,2013-01-16,Marcos Baghdatis,1.07,Tatsuma Ito,11
Australian Open 2013,Men,2013-01-17,Andreas Seppi,1.9100000000000001,Denis Istomin,2.04
Australian Open 2013,Men,2013-01-17,Florian Mayer,2.02,Ricardas Berankis,1.9100000000000001
Australian Open 2013,Men,2013-01-17,Amir Weintraub,12.5,Philipp Kohlschreiber,1.07
Australian Open 2013,Men,2013-01-17,Go Soeda,17,Jo Wilfried Tsonga,1.05
Australian Open 2013,Men,2013-01-17,Blaz Kavcic,1.4,James Duckworth,3.05
Australian Open 2013,Men,2013-01-17,Lukas Rosol,5.6,Milos Raonic,1.21
Australian Open 2013,Men,2013-01-17,Gilles Simon,1.45,Jesse Levine,3.05
Australian Open 2013,Men,2013-01-17,Alejandro Falla,8,Richard Gasquet,1.13
Australian Open 2013,Men,2013-01-17,Benjamin Becker,22,Juan Martin Del Potro,1.03
Australian Open 2013,Men,2013-01-17,Ivan Dodig,2.94,Jarkko Nieminen,1.5
Australian Open 2013,Men,2013-01-17,Bernard Tomic,1.13,Daniel Brands,7.6000000000000005
Australian Open 2013,Men,2013-01-17,Gael Monfils,1.33,Yen Hsun Lu,3.75
Australian Open 2013,Men,2013-01-17,Marin Cilic,1.06,Rajeev Ram,13.5
Australian Open 2013,Men,2013-01-17,Nikolay Davydenko,16,Roger Federer,1.06
Australian Open 2013,Men,2013-01-17,Jeremy Chardy,2.2800000000000002,Marcel Granollers,1.74
Australian Open 2013,Men,2013-01-18,Jerzy Janowicz,3.3499999999999996,Nicolas Almagro,1.4100000000000001
Australian Open 2013,Men,2013-01-18,Sam Querrey,2.3,Stanislas Wawrinka,1.6099999999999999
Australian Open 2013,Men,2013-01-18,Jurgen Melzer,12,Tomas Berdych,1.06
Australian Open 2013,Men,2013-01-18,Evgeny Donskoy,7.6000000000000005,Kei Nishikori,1.1400000000000001
Australian Open 2013,Men,2013-01-18,David Ferrer,1.15,Marcos Baghdatis,7.4
Australian Open 2013,Men,2013-01-18,Fernando Verdasco,2.12,Kevin Anderson,1.83
Australian Open 2013,Men,2013-01-18,Novak Djokovic,1.01,Radek Stepanek,70
Australian Open 2013,Men,2013-01-18,Janko Tipsarevic,1.4,Julien Benneteau,3.4
Australian Open 2013,Men,2013-01-19,Milos Raonic,1.6800000000000002,Philipp Kohlschreiber,2.44
Australian Open 2013,Men,2013-01-19,Andy Murray,1.02,Ricardas Berankis,32
Australian Open 2013,Men,2013-01-19,Blaz Kavcic,23,Jo Wilfried Tsonga,1.02
Australian Open 2013,Men,2013-01-19,Andreas Seppi,3.05,Marin Cilic,1.45
Australian Open 2013,Men,2013-01-19,Bernard Tomic,8,Roger Federer,1.12
Australian Open 2013,Men,2013-01-19,Jeremy Chardy,1.05,Juan Martin Del Potro,140
Australian Open 2013,Men,2013-01-19,Gael Monfils,2.56,Gilles Simon,1.62
Australian Open 2013,Men,2013-01-19,Ivan Dodig,8.600000000000001,Richard Gasquet,1.1
Australian Open 2013,Men,2013-01-20,Janko Tipsarevic,2.16,Nicolas Almagro,1.77
Australian Open 2013,Men,2013-01-20,Novak Djokovic,1.03,Stanislas Wawrinka,26
Australian Open 2013,Men,2013-01-20,Kevin Anderson,5.199999999999999,Tomas Berdych,1.21
Australian Open 2013,Men,2013-01-20,David Ferrer,1.23,Kei Nishikori,4.8999999999999995
Australian Open 2013,Men,2013-01-21,Andreas Seppi,1.63,Jeremy Chardy,2.56
Australian Open 2013,Men,2013-01-21,Jo Wilfried Tsonga,1.54,Richard Gasquet,2.7800000000000002
Australian Open 2013,Men,2013-01-21,Milos Raonic,7.800000000000001,Roger Federer,1.13
Australian Open 2013,Men,2013-01-21,Andy Murray,1.03,Gilles Simon,28
Australian Open 2013,Men,2013-01-22,David Ferrer,1.2,Nicolas Almagro,5.8
Australian Open 2013,Men,2013-01-22,Novak Djokovic,1.21,Tomas Berdych,5.3999999999999995
Australian Open 2013,Men,2013-01-23,Andy Murray,1.07,Jeremy Chardy,13
Australian Open 2013,Men,2013-01-23,Jo Wilfried Tsonga,5.6,Roger Federer,1.2
Australian Open 2013,Men,2013-01-24,David Ferrer,8,Novak Djokovic,1.13
Australian Open 2013,Men,2013-01-25,Andy Murray,1.76,Roger Federer,2.3
Australian Open 2013,Men,2013-01-27,Andy Murray,2.8,Novak Djokovic,1.54
Australian Open 2014,Men,2014-01-14,Bernard Tomic,18,Rafael Nadal,1.05
Australian Open 2014,Men,2014-01-14,Igor Sijsling,1.6099999999999999,Thanasi Kokkinakis,2.48
Australian Open 2014,Men,2014-01-14,Jack Sock,2.12,Tobias Kamke,1.63
Australian Open 2014,Men,2014-01-14,Gael Monfils,1.18,Ryan Harrison,5.6
Australian Open 2014,Men,2014-01-13,Aleksandr Nedovyesov,36,Tomas Berdych,1.02
Australian Open 2014,Men,2014-01-14,Andreas Seppi,4.199999999999999,Lleyton Hewitt,1.29
Australian Open 2014,Men,2014-01-13,Di Wu,1.92,Kenny De Schepper,2.02
Australian Open 2014,Men,2014-01-14,Donald Young,2.3,Robin Haase,1.74
Australian Open 2014,Men,2014-01-13,Ivan Dodig,1.5,Ivo Karlovic,2.7
Australian Open 2014,Men,2014-01-14,Kei Nishikori,1.3,Marinko Matosevic,3.9499999999999997
Australian Open 2014,Men,2014-01-13,Jiri Vesely,3.3,Kevin Anderson,1.34
Australian Open 2014,Men,2014-01-13,Carlos Berlocq,1.08,Edouard Roger Vasselin,1.4100000000000001
Australian Open 2014,Men,2014-01-14,Daniel Gimeno Traver,11.5,Milos Raonic,1.05
Australian Open 2014,Men,2014-01-13,Guillermo Garcia Lopez,2.2800000000000002,Tommy Haas,1.53
Australian Open 2014,Men,2014-01-14,Bradley Klahn,5.3,Grigor Dimitrov,1.19
Australian Open 2014,Men,2014-01-13,Jan Lennard Struff,3.8499999999999996,Mikhail Youzhny,1.31
Australian Open 2014,Men,2014-01-13,Albert Ramos,1.58,Pablo Andujar,1.47
Australian Open 2014,Men,2014-01-14,Benjamin Becker,1.87,Nick Kyrgios,2.1
Australian Open 2014,Men,2014-01-13,Jerzy Janowicz,1.32,Jordan Thompson,4
Australian Open 2014,Men,2014-01-14,Roberto Bautista Agut,1.3,Tim Smyczek,4.1
Australian Open 2014,Men,2014-01-13,Jeremy Chardy,1.16,Jesse Huta Galung,5.3
Australian Open 2014,Men,2014-01-13,Adrian Mannarino,1.94,Steve Johnson,1.82
Australian Open 2014,Men,2014-01-13,Alejandro Gonzalez,23,David Ferrer,1.03
Australian Open 2014,Men,2014-01-14,Andy Murray,1.02,Go Soeda,27
Australian Open 2014,Men,2014-01-13,Andrey Golubev,18,Stanislas Wawrinka,1.04
Australian Open 2014,Men,2014-01-13,Alejandro Falla,1.9500000000000002,Mikhail Kukushkin,1.99
Australian Open 2014,Men,2014-01-14,Feliciano Lopez,1.28,Somdev Devvarman,4.3
Australian Open 2014,Men,2014-01-13,Matthew Ebden,2.26,Nicolas Mahut,1.6400000000000001
Australian Open 2014,Men,2014-01-13,Samuel Groth,2.46,Vasek Pospisil,1.38
Australian Open 2014,Men,2014-01-14,Aljaz Bedene,8.600000000000001,Philipp Kohlschreiber,1.1
Australian Open 2014,Men,2014-01-13,Lukas Rosol,1.98,Tommy Robredo,1.99
Australian Open 2014,Men,2014-01-13,Julien Benneteau,1.36,Pablo Carreno Busta,3.5999999999999996
Australian Open 2014,Men,2014-01-14,Horacio Zeballos,2.56,Michal Przysiezny,1.5899999999999999
Australian Open 2014,Men,2014-01-13,Lukasz Kubot,2.46,Nikolay Davydenko,1.63
Australian Open 2014,Men,2014-01-13,Alex Bogomolov Jr,1.9300000000000002,Fabio Fognini,1.79
Australian Open 2014,Men,2014-01-13,Dudi Sela,2.66,Jarkko Nieminen,1.57
Australian Open 2014,Men,2014-01-13,Sam Querrey,1.44,Santiago Giraldo,3
Australian Open 2014,Men,2014-01-13,Ernests Gulbis,1.18,Juan Monaco,5.8999999999999995
Australian Open 2014,Men,2014-01-13,Dmitry Tursunov,1.15,Michael Russell,6.6000000000000005
Australian Open 2014,Men,2014-01-14,Marcel Granollers,5.3999999999999995,Marin Cilic,1.2
Australian Open 2014,Men,2014-01-13,Denis Istomin,1.67,Marcos Baghdatis,2.4
Australian Open 2014,Men,2014-01-14,Daniel Brands,1.46,Gilles Simon,2.96
Australian Open 2014,Men,2014-01-13,Albert Montanes,3.4499999999999997,Leonardo Mayer,1.33
Australian Open 2014,Men,2014-01-14,Sergiy Stakhovsky,1.22,Teymuraz Gabashvili,4.199999999999999
Australian Open 2014,Men,2014-01-14,Blaz Kavcic,3.75,Radek Stepanek,1.33
Australian Open 2014,Men,2014-01-14,James Duckworth,50,Roger Federer,1.01
Australian Open 2014,Men,2014-01-14,Dusan Lajovic,1.51,Lucas Pouille,2.84
