tournament,men_women,player,odds
Australian Open 2014,Men,Feliciano Lopez,1e3
Australian Open 2014,Men,Leonardo Mayer,1e3
Australian Open 2014,Men,Juan Monaco,1e3
Australian Open 2014,Men,Benoit Paire,1e3
Australian Open 2014,Men,Sam Querrey,1e3
Australian Open 2014,Men,Fabio Fognini,1e3
Australian Open 2014,Men,Lukas Lacko,1e3
Australian Open 2014,Men,Peter Gojowczyk,1e3
Australian Open 2014,Men,Marcos Baghdatis,1e3
Australian Open 2014,Men,Ivan Dodig,1e3
Australian Open 2014,Men,Denis Istomin,1e3
Australian Open 2014,Men,Gilles Simon,1e3
Australian Open 2014,Men,Nick Kyrgios,1e3
Australian Open 2014,Men,Mikhail Kukushkin,1e3
Australian Open 2014,Men,Lucas Pouille,1e3
Australian Open 2014,Men,Julien Benneteau,1e3
Australian Open 2014,Men,Steve Johnson,1e3
Australian Open 2014,Men,Alejandro Gonzalez,1e3
Australian Open 2014,Men,Aljaz Bedene,1e3
Australian Open 2014,Men,Philipp Kohlschreiber,1e3
Australian Open 2014,Men,Brian Baker,1e3
Australian Open 2014,Men,Ryan Harrison,1e3
Australian Open 2014,Men,Sergiy Stakhovsky,1e3
Australian Open 2014,Men,Florian Mayer,1e3
Australian Open 2014,Men,Marcel Granollers,1e3
Australian Open 2014,Men,Tommy Robredo,1e3
Australian Open 2014,Men,Nikolay Davydenko,1e3
Australian Open 2014,Men,Lukas Rosol,1e3
Australian Open 2014,Men,Dmitry Tursunov,1e3
Australian Open 2014,Men,David Goffin,1e3
Australian Open 2014,Men,Kevin Anderson,1e3
Australian Open 2015,Men,Novak Djokovic,2.04
Australian Open 2015,Men,Roger Federer,7.4
Australian Open 2015,Men,Rafael Nadal,13.5
Australian Open 2015,Men,Andy Murray,14.5
Australian Open 2015,Men,Stanislas Wawrinka,16.5
Australian Open 2015,Men,Kei Nishikori,16.5
Australian Open 2015,Men,Tomas Berdych,38
Australian Open 2015,Men,Milos Raonic,42
Australian Open 2015,Men,Grigor Dimitrov,65
Australian Open 2015,Men,Bernard Tomic,110
Australian Open 2015,Men,David Ferrer,130
Australian Open 2015,Men,Nick Kyrgios,200
Australian Open 2015,Men,Gael Monfils,250
Australian Open 2015,Men,Ernests Gulbis,330
Australian Open 2015,Men,Juan Martin Del Potro,400
Australian Open 2015,Men,Kevin Anderson,450
Australian Open 2015,Men,David Goffin,460
Australian Open 2015,Men,Jerzy Janowicz,550
Australian Open 2015,Men,Richard Gasquet,660
Australian Open 2015,Men,Jiri Vesely,690
Australian Open 2015,Men,Fernando Verdasco,720
Australian Open 2015,Men,Viktor Troicki,750
Australian Open 2015,Men,Alexandr Dolgopolov,800
Australian Open 2015,Men,Ivo Karlovic,800
Australian Open 2015,Men,John Isner,900
Australian Open 2015,Men,Roberto Bautista Agut,950
Australian Open 2015,Men,Vasek Pospisil,990
Australian Open 2015,Men,Mikhail Kukushkin,1e3
Australian Open 2015,Men,Marin Cilic,1e3
Australian Open 2015,Men,Gilles Muller,1e3
Australian Open 2015,Men,Jurgen Melzer,1e3
Australian Open 2015,Men,Jo Wilfried Tsonga,1e3
Australian Open 2015,Men,Martin Klizan,1e3
Australian Open 2015,Men,Nicolas Almagro,1e3
Australian Open 2015,Men,Leonardo Mayer,1e3
Australian Open 2015,Men,Andreas Seppi,1e3
Australian Open 2015,Men,Borna Coric,1e3
Australian Open 2015,Men,Tommy Robredo,1e3
Australian Open 2015,Men,Jeremy Chardy,1e3
Australian Open 2015,Men,Thanasi Kokkinakis,1e3
Australian Open 2015,Men,Samuel Groth,1e3
Australian Open 2015,Men,Adrian Mannarino,1e3
Australian Open 2015,Men,Fabio Fognini,1e3
Australian Open 2015,Men,Santiago Giraldo,1e3
Australian Open 2015,Men,Guillermo Garcia Lopez,1e3
Australian Open 2015,Men,Julien Benneteau,1e3
Australian Open 2015,Men,Mikhail Youzhny,1e3
Australian Open 2015,Men,Jordan Thompson,1e3
Australian Open 2015,Men,Joao Sousa,1e3
Australian Open 2015,Men,Lleyton Hewitt,1e3
Australian Open 2015,Men,Ivan Dodig,1e3
Australian Open 2015,Men,Feliciano Lopez,1e3
Australian Open 2015,Men,Dominic Thiem,1e3
Australian Open 2015,Men,Gilles Simon,1e3
Australian Open 2015,Men,Carlos Berlocq,1e3
Australian Open 2015,Men,Marinko Matosevic,1e3
Australian Open 2015,Men,Federico Delbonis,1e3
Australian Open 2015,Men,Jarkko Nieminen,1e3
Australian Open 2015,Men,Philipp Kohlschreiber,1e3
Australian Open 2015,Men,Florian Mayer,1e3
Australian Open 2015,Men,Denis Istomin,1e3
Australian Open 2015,Men,Tommy Haas,1e3
Australian Open 2015,Men,John Millman,1e3
Australian Open 2016,Men,Novak Djokovic,1.74
Australian Open 2016,Men,Andy Murray,8
Australian Open 2016,Men,Roger Federer,14.5
Australian Open 2016,Men,Stanislas Wawrinka,15
Australian Open 2016,Men,Rafael Nadal,22
Australian Open 2016,Men,Milos Raonic,48
Australian Open 2016,Men,Nick Kyrgios,48
Australian Open 2016,Men,Grigor Dimitrov,75
Australian Open 2016,Men,Kei Nishikori,95
Australian Open 2016,Men,Marin Cilic,120
Australian Open 2016,Men,Tomas Berdych,120
Australian Open 2016,Men,Bernard Tomic,130
Australian Open 2016,Men,Jo Wilfried Tsonga,220
Australian Open 2016,Men,David Ferrer,320
Australian Open 2016,Men,Kevin Anderson,330
Australian Open 2016,Men,Viktor Troicki,380
Australian Open 2016,Men,Gael Monfils,520
Australian Open 2016,Men,John Isner,560
Australian Open 2016,Men,Richard Gasquet,620
Australian Open 2016,Men,Borna Coric,660
Australian Open 2016,Men,Jack Sock,760
Australian Open 2016,Men,Dominic Thiem,800
Australian Open 2016,Men,Kyle Edmund,1e3
Australian Open 2016,Men,Andreas Seppi,1e3
Australian Open 2016,Men,David Goffin,1e3
Australian Open 2016,Men,Feliciano Lopez,1e3
Australian Open 2016,Men,Philipp Kohlschreiber,1e3
Australian Open 2016,Men,Tommy Robredo,1e3
Australian Open 2016,Men,Hyeon Chung,1e3
Australian Open 2016,Men,Lleyton Hewitt,1e3
Australian Open 2016,Men,Denis Istomin,1e3
Australian Open 2016,Men,Fernando Verdasco,1e3
Australian Open 2016,Men,Benjamin Becker,1e3
Australian Open 2016,Men,Benoit Paire,1e3
Australian Open 2016,Men,Gilles Muller,1e3
Australian Open 2016,Men,Jeremy Chardy,1e3
Australian Open 2016,Men,Martin Klizan,1e3
Australian Open 2016,Men,Alexandr Dolgopolov,1e3
Australian Open 2016,Men,Noah Rubin,1e3
Australian Open 2016,Men,Roberto Bautista Agut,1e3
Australian Open 2016,Men,Marcos Baghdatis,1e3
Australian Open 2016,Men,Nicolas Almagro,1e3
Australian Open 2016,Men,Teymuraz Gabashvili,1e3
Australian Open 2016,Men,Ernests Gulbis,1e3
Australian Open 2016,Men,Ivo Karlovic,1e3
Australian Open 2016,Men,Gilles Simon,1e3
Australian Open 2016,Men,Jerzy Janowicz,1e3
Australian Open 2016,Men,James Duckworth,1e3
Australian Open 2016,Men,Fabio Fognini,1e3
Australian Open 2016,Men,Guillermo Garcia Lopez,1e3
Australian Open 2017,Men,Andy Murray,2.82
Australian Open 2017,Men,Novak Djokovic,2.86
Australian Open 2017,Men,Stan Wawrinka,16
Australian Open 2017,Men,Rafael Nadal,22
Australian Open 2017,Men,Milos Raonic,22
Australian Open 2017,Men,Roger Federer,32
Australian Open 2017,Men,Kei Nishikori,48
Australian Open 2017,Men,Grigor Dimitrov,55
Australian Open 2017,Men,Nick Kyrgios,65
Australian Open 2017,Men,Alexander Zverev,85
Australian Open 2017,Men,Marian Cilic,90
Australian Open 2017,Men,Dominic Thiem,150
Australian Open 2017,Men,Jo Wilfred Tsonga,170
Australian Open 2017,Men,David Goffin,190
Australian Open 2017,Men,Tomas Berdych,260
Australian Open 2017,Men,Roberto Bautista Agut,270
Australian Open 2017,Men,Gael Monfils,300
Australian Open 2017,Men,Jack Sock,300
Australian Open 2017,Men,Lucas Pouille,340
Australian Open 2017,Men,Bernard Tomic,650
Australian Open 2017,Men,Richard Gasquet,710
Australian Open 2017,Men,David Ferrer,900
Australian Open 2017,Men,John Isner,930
Australian Open 2017,Men,Dmitry Tursunov,1e3
Australian Open 2017,Men,Malek Jaziri,1e3
Australian Open 2017,Men,Sam Groth,1e3
Australian Open 2017,Men,Feliciano Lopez,1e3
Australian Open 2017,Men,Marcos Baghdatis,1e3
Australian Open 2017,Men,Fernando Verdasco,1e3
Australian Open 2017,Men,Jared Donaldson,1e3
Australian Open 2017,Men,Taylor Fritz,1e3
Australian Open 2017,Men,Fabio Fognini,1e3
Australian Open 2017,Men,Frances Tiafoe,1e3
Australian Open 2017,Men,Omar Jasika,1e3
Australian Open 2017,Men,Daniil Medvedev,1e3
Australian Open 2017,Men,Gilles Simon,1e3
Australian Open 2017,Men,Yoshihito Nishioka,1e3
Australian Open 2017,Men,Steve Johnson,1e3
Australian Open 2017,Men,Borna Coric,1e3
Australian Open 2017,Men,Jiri Vesely,1e3
Australian Open 2017,Men,Viktor Troicki,1e3
Australian Open 2017,Men,Martin Klizan,1e3
Australian Open 2017,Men,Mischa Zverev,1e3
Australian Open 2017,Men,Quentin Halys,1e3
Australian Open 2017,Men,Philipp Kohlschreiber,1e3
Australian Open 2017,Men,Karen Khachanov,1e3
Australian Open 2017,Men,Sam Querrey,1e3
Australian Open 2017,Men,Reilly Opelka,1e3
Australian Open 2017,Men,Ivo Karlovic,1e3
Australian Open 2017,Men,Mikhail Youzhny,1e3
Australian Open 2017,Men,Alexandr Dolgopolov,1e3
Australian Open 2017,Men,Joao Sousa,1e3
Australian Open 2017,Men,Daniel Evans,1e3
Australian Open 2017,Men,Adam Pavlasek,1e3
Australian Open 2017,Men,Kyle Edmund,1e3
Australian Open 2017,Men,Benoit Paire,1e3
Australian Open 2018,Men,Roger Federer,3.15
Australian Open 2018,Men,Rafael Nadal,7.2
Australian Open 2018,Men,Novak Djokovic,9.8
Australian Open 2018,Men,Grigor Dimitrov,13
Australian Open 2018,Men,Nick Kyrgios,14.5
Australian Open 2018,Men,Alexander Zverev,19.5
Australian Open 2018,Men,Juan Martin Del Potro,22
Australian Open 2018,Men,David Goffin,24
Australian Open 2018,Men,Marin Cilic,40
Australian Open 2018,Men,Dominic Thiem,55
Australian Open 2018,Men,Stan Wawrinka,65
Australian Open 2018,Men,Kevin Anderson,90
Australian Open 2018,Men,Milos Raonic,95
Australian Open 2018,Men,Roberto Bautista Agut,95
Australian Open 2018,Men,Jack Sock,110
Australian Open 2018,Men,Gael Monfils,140
Australian Open 2018,Men,Tomas Berdych,150
Australian Open 2018,Men,Alex De Minaur,180
Australian Open 2018,Men,Jo Wilfried Tsonga,200
Australian Open 2018,Men,Lucas Pouille,220
Australian Open 2018,Men,Pablo Carreno Busta,240
Australian Open 2018,Men,Denis Shapovalov,240
Australian Open 2018,Men,Andrey Rublev,240
Australian Open 2018,Men,Borna Coric,250
Australian Open 2018,Men,Sam Querrey,390
Australian Open 2018,Men,Richard Gasquet,410
Australian Open 2018,Men,Hyeon Chung,410
Australian Open 2018,Men,John Isner,440
Australian Open 2018,Men,Gilles Simon,500
Australian Open 2018,Men,David Ferrer,510
Australian Open 2018,Men,Thanasi Kokkinakis,510
Australian Open 2018,Men,Diego Schwartzman,540
Australian Open 2018,Men,Daniil Medvedev,620
Australian Open 2018,Men,Karen Khachanov,680
Australian Open 2018,Men,Alexandr Dolgopolov,720
Australian Open 2018,Men,Fabio Fognini,800
Australian Open 2018,Men,Kyle Edmund,900
Australian Open 2018,Men,Guillermo Garcia Lopez,1e3
Australian Open 2018,Men,Gilles Muller,1e3
Australian Open 2018,Men,Stefanos Tsitsipas,1e3
Australian Open 2018,Men,Robin Haase,1e3
Australian Open 2018,Men,Benoit Paire,1e3
Australian Open 2018,Men,Paolo Lorenzi,1e3
Australian Open 2018,Men,Matthew Ebden,1e3
Australian Open 2018,Men,Yuichi Sugita,1e3
Australian Open 2018,Men,Aljaz Bedene,1e3
Australian Open 2018,Men,Marius Copil,1e3
Australian Open 2018,Men,Andreas Seppi,1e3
Australian Open 2018,Men,John Millman,1e3
Australian Open 2018,Men,Pierre Hugues Herbert,1e3
Australian Open 2018,Men,Cedrik Marcel Stebe,1e3
Australian Open 2018,Men,Soonwoo Kwon,1e3
Australian Open 2018,Men,Jason Kubler,1e3
Australian Open 2018,Men,Blaz Kavcic,1e3
Australian Open 2018,Men,Dusan Lajovic,1e3
Australian Open 2018,Men,Yoshihito Nishioka,1e3
Australian Open 2018,Men,Guido Pella,1e3
Australian Open 2018,Men,Radu Albot,1e3
Australian Open 2018,Men,Viktor Troicki,1e3
Australian Open 2018,Men,Maximilian Marterer,1e3
Australian Open 2018,Men,Frances Tiafoe,1e3
Australian Open 2018,Men,Fernando Verdasco,1e3
Australian Open 2018,Men,Alex Bolt,1e3
Australian Open 2018,Men,Andreas Haider Maurer,1e3
Australian Open 2018,Men,Leonardo Mayer,1e3
Australian Open 2018,Men,Thomas Fabbiano,1e3
Australian Open 2018,Men,Mischa Zverev,1e3
Australian Open 2018,Men,Mikhail Youzhny,1e3
Australian Open 2018,Men,Corentin Moutet,1e3
Australian Open 2018,Men,Ryan Harrison,1e3
Australian Open 2018,Men,Evgeny Donskoy,1e3
Australian Open 2018,Men,Peter Gojowczyk,1e3
Australian Open 2018,Men,Damir Dzumhur,1e3
Australian Open 2018,Men,Jordan Thompson,1e3
Australian Open 2018,Men,Nikoloz Basilashvili,1e3
Australian Open 2018,Men,Florian Mayer,1e3
Australian Open 2018,Men,Donald Young,1e3
Australian Open 2018,Men,Horacio Zeballos,1e3
Australian Open 2018,Men,Jiri Vesely,1e3
Australian Open 2018,Men,Tennys Sandgren,1e3
Australian Open 2018,Men,Dudi Sela,1e3
Australian Open 2018,Men,Adrian Mannarino,1e3
Australian Open 2018,Men,Joao Sousa,1e3
Australian Open 2018,Men,Ivo Karlovic,1e3
Australian Open 2018,Men,Jeremy Chardy,1e3
Australian Open 2018,Men,Julien Benneteau,1e3
Australian Open 2018,Men,Steve Johnson,1e3
Australian Open 2018,Men,Gerald Melzer,1e3
Australian Open 2018,Men,Nicolas Jarry,1e3
Australian Open 2018,Men,Nicolas Kicker,1e3
Australian Open 2018,Men,Pablo Cuevas,1e3
Australian Open 2018,Men,Albert Ramos Vinolas,1e3
Australian Open 2018,Men,Lukas Lacko,1e3
Australian Open 2018,Men,Rogerio Dutra Silva,1e3
Australian Open 2018,Men,Ricardas Berankis,1e3
Australian Open 2018,Men,Marcos Baghdatis,1e3
Australian Open 2018,Men,Feliciano Lopez,1e3
Australian Open 2018,Men,Jan Lennard Struff,1e3
Australian Open 2018,Men,Victor Estrella Burgos,1e3
Australian Open 2018,Men,Federico Delbonis,1e3
Australian Open 2018,Men,Mikhail Kukushkin,1e3
Australian Open 2018,Men,Malek Jaziri,1e3
Australian Open 2018,Men,Laslo Djere,1e3
Australian Open 2018,Men,Philipp Kohlschreiber,1e3
Australian Open 2018,Men,Jared Donaldson,1e3
Australian Open 2018,Men,Taro Daniel,1e3
Australian Open 2018,Men,Denis Istomin,1e3
Australian Open 2018,Men,Tim Smyczek,1e3
Australian Open 2018,Men,Alexei Popyrin,1e3
Australian Open 2018,Men,Marton Fucsovics,1e3
