Winner,Loser,Tournament,Tournament_Date,Court_Surface,Round_Description,Winner_Rank,Loser_Rank,Retirement_Ind,Winner_Sets_Won,Winner_Games_Won,Winner_Aces,Winner_DoubleFaults,Winner_FirstServes_Won,Winner_FirstServes_In,Winner_SecondServes_Won,Winner_SecondServes_In,Winner_BreakPoints_Won,Winner_BreakPoints,Winner_ReturnPoints_Won,Winner_ReturnPoints_Faced,Winner_TotalPoints_Won,Loser_Sets_Won,Loser_Games_Won,Loser_Aces,Loser_DoubleFaults,Loser_FirstServes_Won,Loser_FirstServes_In,Loser_SecondServes_Won,Loser_SecondServes_In,Loser_BreakPoints_Won,Loser_BreakPoints,Loser_ReturnPoints_Won,Loser_ReturnPoints_Faced,Loser_TotalPoints_Won
Bernard Tomic,Julien Benneteau,Brisbane,2-Jan-12,Hard,First Round,42,52,0,2,17,7,2,36,53,23,39,5,21,54,121,113,1,13,14,12,48,71,19,50,3,7,33,92,100
Philipp Petzschner,Jurgen Melzer,Brisbane,2-Jan-12,Hard,First Round,63,33,0,2,13,8,1,31,37,13,24,3,3,24,54,68,0,6,5,2,21,34,9,20,0,2,17,61,47
Tommy Haas,Marinko Matosevic,Brisbane,2-Jan-12,Hard,First Round,205,203,0,2,13,4,2,32,40,14,26,3,13,34,77,80,0,8,4,2,28,45,15,32,1,7,20,66,63
Radek Stepanek,Matthew Ebden,Brisbane,2-Jan-12,Hard,First Round,28,86,0,2,15,8,4,38,51,22,40,2,12,37,99,97,1,13,5,3,43,64,19,35,1,4,31,91,93
Andy Murray,Mikhail Kukushkin,Brisbane,2-Jan-12,Hard,First Round,4,91,0,2,17,10,0,41,57,17,35,5,9,33,77,91,1,12,4,3,29,41,15,36,3,7,34,92,78
James Duckworth,Nicolas Mahut,Brisbane,2-Jan-12,Hard,First Round,275,80,0,2,12,5,1,25,31,12,21,4,7,22,52,59,0,8,5,5,21,32,9,20,2,3,15,52,45
Gilles Muller,Ricardo Mello,Brisbane,2-Jan-12,Hard,First Round,54,85,0,2,19,23,1,47,55,31,49,1,2,29,103,107,1,16,3,5,54,67,20,36,0,3,26,104,100
Marcos Baghdatis,Ryan Harrison,Brisbane,2-Jan-12,Hard,First Round,44,79,0,2,13,8,3,26,31,26,40,2,4,26,79,78,0,10,14,1,36,48,17,31,1,6,19,71,72
Gilles Simon,Ryan Sweeting,Brisbane,2-Jan-12,Hard,First Round,12,72,0,2,12,3,1,32,43,10,20,3,8,27,60,69,0,7,2,4,23,31,10,29,1,2,21,63,54
Andy Murray,Gilles Muller,Brisbane,2-Jan-12,Hard,Second Round,4,54,0,2,17,9,5,44,49,12,33,4,6,36,92,92,1,12,10,1,39,56,17,36,2,4,26,82,82
Alexandr Dolgopolov,Igor Andreev,Brisbane,2-Jan-12,Hard,Second Round,15,115,0,2,19,0,2,54,78,24,42,4,9,41,115,119,1,15,10,4,52,71,22,44,2,8,42,120,116
Gilles Simon,James Duckworth,Brisbane,2-Jan-12,Hard,Second Round,12,275,0,2,13,11,4,26,31,21,35,3,8,27,67,74,0,8,8,1,25,38,15,29,1,1,19,66,59
Radek Stepanek,Jarkko Nieminen,Brisbane,2-Jan-12,Hard,Second Round,28,77,0,2,13,3,0,26,39,15,24,4,4,30,66,71,0,8,3,1,22,39,14,27,2,5,22,63,58
Marcos Baghdatis,Kei Nishikori,Brisbane,2-Jan-12,Hard,Second Round,44,25,0,2,12,10,2,26,33,13,30,4,7,25,50,64,0,7,0,0,16,30,9,20,2,5,24,63,49
Santiago Giraldo,Philipp Petzschner,Brisbane,2-Jan-12,Hard,Second Round,55,63,0,2,12,1,2,27,35,15,24,2,3,24,66,66,0,8,9,1,29,38,13,28,0,0,17,59,59
Bernard Tomic,Tatsuma Ito,Brisbane,2-Jan-12,Hard,Second Round,42,122,0,2,12,10,1,24,30,7,15,5,6,23,39,54,0,3,1,2,11,23,5,16,1,1,14,45,30
Bernard Tomic,Denis Istomin,Brisbane,2-Jan-12,Hard,Quarter-finals,42,73,0,2,13,8,0,36,45,15,27,1,1,16,57,67,0,9,8,2,26,32,15,25,0,0,21,72,62
Andy Murray,Marcos Baghdatis,Brisbane,2-Jan-12,Hard,Quarter-finals,4,44,0,2,12,3,2,26,31,10,21,4,4,21,40,57,0,4,2,3,12,19,7,21,0,2,16,52,35
Alexandr Dolgopolov,Radek Stepanek,Brisbane,2-Jan-12,Hard,Quarter-finals,15,28,0,2,16,16,2,33,52,21,36,5,13,40,92,94,1,12,2,4,34,48,18,44,3,6,34,88,86
Gilles Simon,Santiago Giraldo,Brisbane,2-Jan-12,Hard,Quarter-finals,12,55,0,2,13,5,1,34,47,18,31,3,8,33,78,85,0,10,2,0,32,52,13,26,2,8,26,78,71
Andy Murray,Bernard Tomic,Brisbane,2-Jan-12,Hard,Semi-finals,4,42,0,2,12,13,1,30,34,8,14,3,11,21,52,59,0,5,3,1,21,29,10,23,0,0,10,48,41
Alexandr Dolgopolov,Gilles Simon,Brisbane,2-Jan-12,Hard,Semi-finals,15,12,0,2,12,3,0,23,27,15,21,3,7,25,65,63,0,7,6,1,24,38,16,27,0,1,10,48,50
Andy Murray,Alexandr Dolgopolov,Brisbane,2-Jan-12,Hard,Finals,4,15,0,2,12,9,2,25,30,9,17,5,10,36,66,70,0,4,2,4,19,35,11,31,1,4,13,47,43
Albert Ramos-Vinolas,Dmitry Tursunov,Doha,2-Jan-12,Hard,First Round,66,40,0,2,13,3,4,28,34,13,25,4,12,31,65,72,0,7,5,0,27,47,7,18,1,6,18,59,52
Mikhail Youzhny,Ernests Gulbis,Doha,2-Jan-12,Hard,First Round,35,61,0,2,18,4,2,51,75,15,23,5,9,41,96,107,1,13,11,8,38,61,17,35,2,8,32,98,87
Alex Bogomolov Jr.,Filippo Volandri,Doha,2-Jan-12,Hard,First Round,34,69,0,2,17,6,0,34,52,15,27,7,13,51,105,100,1,13,0,2,35,64,19,41,5,7,30,79,84
Benjamin Becker,Igor Kunitsyn,Doha,2-Jan-12,Hard,First Round,304,71,0,2,13,3,0,28,41,11,20,4,7,35,75,74,0,9,8,1,30,47,10,28,2,2,22,61,62
Flavio Cipolla,Jabor Mohammed Ali Mutawa,Doha,2-Jan-12,Hard,First Round,75,.,0,2,12,0,1,18,19,6,10,6,10,27,37,51,0,0,0,7,7,17,3,20,0,0,5,29,15
Viktor Troicki,Lukas Rosol,Doha,2-Jan-12,Hard,First Round,22,70,0,2,13,16,1,38,42,10,21,2,4,25,69,73,0,10,6,4,33,46,11,23,1,3,15,63,59
Andreas Seppi,Lukasz Kubot,Doha,2-Jan-12,Hard,First Round,38,57,0,2,12,5,0,23,29,10,17,5,12,29,57,62,0,5,4,6,21,32,7,25,1,6,13,46,41
Jo-Wilfried Tsonga,Malek Jaziri,Doha,2-Jan-12,Hard,First Round,6,118,0,2,19,12,1,62,77,23,44,2,4,32,99,117,1,14,8,4,51,64,16,35,0,5,36,121,103
Roger Federer,Nikolay Davydenko,Doha,2-Jan-12,Hard,First Round,3,41,0,2,12,4,0,27,35,5,6,4,7,23,45,55,0,4,2,3,19,33,3,12,0,0,9,41,31
Guillermo Garcia-Lopez,Pablo Andujar,Doha,2-Jan-12,Hard,First Round,65,46,0,2,14,2,4,42,60,11,25,4,5,25,66,78,1,11,1,1,29,43,12,23,3,11,32,85,73
Rafael Nadal,Philipp Kohlschreiber,Doha,2-Jan-12,Hard,First Round,2,43,0,2,18,7,0,47,67,15,23,4,12,41,100,103,1,13,6,1,41,64,18,36,2,4,28,90,87
Denis Gremelmayr,Potito Starace,Doha,2-Jan-12,Hard,First Round,189,58,0,2,12,3,1,32,42,11,26,4,8,26,53,69,0,5,1,2,23,36,4,17,1,5,25,68,52
Matthias Bachinger,Roberto Bautista Agut,Doha,2-Jan-12,Hard,First Round,94,178,0,2,12,4,1,30,48,19,31,3,11,28,64,77,0,7,4,0,24,39,12,25,1,6,30,79,66
Gael Monfils,Rui Machado,Doha,2-Jan-12,Hard,First Round,16,68,0,2,13,1,0,31,47,6,9,5,11,34,72,71,0,8,1,2,29,54,9,18,2,2,19,56,57
Grega Zemlja,Sergei Bubka,Doha,2-Jan-12,Hard,First Round,116,148,0,2,16,3,2,32,42,16,31,6,8,35,72,83,1,8,5,4,26,46,11,26,2,8,25,73,62
Ivo Karlovic,Sergiy Stakhovsky,Doha,2-Jan-12,Hard,First Round,56,62,0,2,19,8,1,52,66,21,35,2,5,28,98,101,1,15,6,3,50,63,20,35,0,4,28,101,98
Gael Monfils,Benjamin Becker,Doha,2-Jan-12,Hard,Second Round,16,304,0,2,18,6,5,52,77,20,41,5,22,56,132,128,1,16,3,4,55,84,21,48,4,12,46,118,122
Rafael Nadal,Denis Gremelmayr,Doha,2-Jan-12,Hard,Second Round,2,189,0,2,12,1,0,24,28,9,12,4,15,38,79,71,0,4,2,2,29,50,12,29,0,1,7,40,48
Jo-Wilfried Tsonga,Flavio Cipolla,Doha,2-Jan-12,Hard,Second Round,6,75,0,2,13,6,2,29,40,13,27,4,10,36,81,78,0,9,0,1,38,65,7,16,2,3,25,67,70
Roger Federer,Grega Zemlja,Doha,2-Jan-12,Hard,Second Round,3,116,0,2,12,2,0,24,32,14,17,3,6,22,50,60,0,5,5,0,19,26,9,24,0,2,11,49,39
Andreas Seppi,Guillermo Garcia-Lopez,Doha,2-Jan-12,Hard,Second Round,38,65,0,2,13,4,1,28,43,9,17,5,8,26,60,63,0,8,0,3,23,34,11,26,2,3,23,60,57
Mikhail Youzhny,Ivo Karlovic,Doha,2-Jan-12,Hard,Second Round,35,56,0,2,18,5,0,59,77,8,23,4,8,36,91,103,1,12,20,2,41,63,14,28,1,9,33,100,88
Viktor Troicki,Matthias Bachinger,Doha,2-Jan-12,Hard,Second Round,22,94,0,2,13,7,0,30,37,12,20,3,7,31,73,73,0,7,3,0,28,46,14,27,1,2,15,57,57
Jo-Wilfried Tsonga,Albert Ramos-Vinolas,Doha,2-Jan-12,Hard,Quarter-finals,6,66,0,2,12,5,2,26,31,6,13,5,8,29,56,61,0,3,0,3,15,32,12,24,0,3,12,44,39
Roger Federer,Andreas Seppi,Doha,2-Jan-12,Hard,Quarter-finals,3,38,0,2,17,12,2,47,66,14,29,5,9,31,78,92,1,14,6,0,31,47,16,31,4,9,34,95,81
Rafael Nadal,Mikhail Youzhny,Doha,2-Jan-12,Hard,Quarter-finals,2,35,0,2,12,1,1,33,44,10,23,3,6,26,58,69,0,8,2,0,25,42,7,16,1,6,24,67,56
Gael Monfils,Viktor Troicki,Doha,2-Jan-12,Hard,Quarter-finals,16,22,0,2,12,4,3,26,34,7,15,5,11,32,62,65,0,5,0,0,20,38,10,24,1,4,16,49,46
Gael Monfils,Rafael Nadal,Doha,2-Jan-12,Hard,Semi-finals,16,2,0,2,12,4,1,36,52,8,16,3,3,21,50,65,0,7,1,1,23,36,6,14,1,3,24,68,53
Jo-Wilfried Tsonga,Gael Monfils,Doha,2-Jan-12,Hard,Finals,6,16,0,2,13,2,0,24,32,20,28,3,3,22,53,66,0,8,0,1,24,37,7,16,1,2,16,60,47
Julien Benneteau,Andreas Seppi,Sydney,9-Jan-12,Hard,First Round,49,39,0,2,12,6,2,28,33,13,20,2,3,18,50,59,0,7,3,1,21,32,11,18,0,0,12,53,44
Marcos Baghdatis,Dmitry Tursunov,Sydney,9-Jan-12,Hard,First Round,43,41,0,2,12,14,6,27,37,19,36,3,8,29,67,75,0,8,5,1,27,38,11,29,1,7,27,73,65
Lukasz Kubot,Ivan Dodig,Sydney,9-Jan-12,Hard,First Round,58,36,0,2,14,5,2,34,45,21,40,2,6,19,65,74,0,11,6,1,31,41,15,24,1,5,30,85,76
Jarkko Nieminen,James Duckworth,Sydney,9-Jan-12,Hard,First Round,77,251,0,2,12,2,1,41,62,4,11,5,8,30,54,75,0,4,3,4,15,22,9,32,1,10,28,73,52
Viktor Troicki,Lleyton Hewitt,Sydney,9-Jan-12,Hard,First Round,21,182,0,2,16,13,0,41,55,13,31,5,13,42,93,96,1,11,3,7,28,47,23,46,3,7,32,86,83
Matthew Ebden,Marcel Granollers,Sydney,9-Jan-12,Hard,First Round,97,28,0,2,15,6,5,42,60,20,37,3,6,23,65,85,1,10,9,3,30,34,12,31,1,10,35,97,77
Fabio Fognini,Michael Russell,Sydney,9-Jan-12,Hard,First Round,46,98,0,2,14,5,3,30,46,12,28,6,8,34,62,76,1,8,1,1,21,48,7,14,3,7,32,74,60
Denis Istomin,Pablo Andujar,Sydney,9-Jan-12,Hard,First Round,67,44,0,2,14,6,1,33,46,20,31,3,10,40,95,93,1,12,4,4,31,52,24,43,2,7,24,77,79
Alex Bogomolov Jr.,Robin Haase,Sydney,9-Jan-12,Hard,First Round,34,52,0,2,13,2,4,45,66,12,28,2,6,25,76,82,1,14,11,2,33,43,18,33,3,8,37,94,88
Bobby Reynolds,Sergiy Stakhovsky,Sydney,9-Jan-12,Hard,First Round,126,61,0,2,13,3,3,28,39,15,30,5,7,28,63,71,0,8,10,3,25,36,10,27,2,8,26,69,61
Radek Stepanek,Xavier Malisse,Sydney,9-Jan-12,Hard,First Round,31,63,0,2,18,14,6,55,74,21,41,3,10,40,110,116,1,15,10,0,44,62,26,48,1,10,39,115,109
Richard Gasquet,Fabio Fognini,Sydney,9-Jan-12,Hard,Second Round,18,46,0,2,12,1,2,24,28,9,15,4,8,25,47,58,0,3,0,3,14,28,8,19,0,2,10,43,32
Julien Benneteau,Feliciano Lopez,Sydney,9-Jan-12,Hard,Second Round,49,19,0,2,12,4,1,31,44,12,15,2,2,19,51,62,0,7,5,2,22,30,10,21,0,3,16,59,48
Bobby Reynolds,John Isner,Sydney,9-Jan-12,Hard,Second Round,126,17,0,2,15,9,1,42,57,12,21,3,7,35,91,89,1,13,20,3,41,56,15,35,2,3,24,78,80
Juan Martin del Potro,Lukasz Kubot,Sydney,9-Jan-12,Hard,Second Round,11,58,0,2,12,6,2,30,43,12,20,3,6,21,54,63,0,6,1,4,20,33,13,21,0,4,21,63,54
Marcos Baghdatis,Matthew Ebden,Sydney,9-Jan-12,Hard,Second Round,43,97,0,2,17,4,2,36,44,29,44,2,9,39,112,104,1,17,9,3,51,72,22,40,2,5,23,88,96
Jarkko Nieminen,Radek Stepanek,Sydney,9-Jan-12,Hard,Second Round,77,31,0,2,18,4,7,44,75,11,26,8,14,51,103,106,1,14,1,2,37,71,15,32,6,10,46,101,98
Denis Istomin,Ryan Sweeting,Sydney,9-Jan-12,Hard,Second Round,67,72,0,2,12,8,2,27,33,7,12,4,7,26,52,60,0,3,1,4,17,28,9,24,0,1,11,45,37
Alex Bogomolov Jr.,Viktor Troicki,Sydney,9-Jan-12,Hard,Second Round,34,21,0,2,13,0,3,39,53,3,9,3,14,31,78,73,0,10,9,3,33,49,14,29,2,2,20,62,67
Julien Benneteau,Alex Bogomolov Jr.,Sydney,9-Jan-12,Hard,Quarter-finals,49,34,0,2,12,2,2,19,26,13,26,5,13,36,71,68,0,6,0,2,26,50,9,21,2,5,20,52,55
Jarkko Nieminen,Bobby Reynolds,Sydney,9-Jan-12,Hard,Quarter-finals,77,126,0,2,12,5,1,25,37,6,11,5,7,27,52,58,0,6,3,2,19,28,6,24,2,6,17,48,42
Marcos Baghdatis,Juan Martin del Potro,Sydney,9-Jan-12,Hard,Quarter-finals,43,11,0,2,13,12,1,32,44,18,25,2,5,18,66,68,0,10,7,1,36,44,12,22,1,3,19,69,67
Denis Istomin,Richard Gasquet,Sydney,9-Jan-12,Hard,Quarter-finals,67,18,0,2,13,8,3,31,42,22,42,3,8,33,80,86,0,10,9,2,31,47,16,33,2,7,31,84,78
Jarkko Nieminen,Denis Istomin,Sydney,9-Jan-12,Hard,Semi-finals,77,67,0,2,13,0,2,41,60,14,24,2,6,26,74,81,0,9,7,2,37,51,11,23,1,2,29,84,77
Julien Benneteau,Marcos Baghdatis,Sydney,9-Jan-12,Hard,Semi-finals,49,43,0,2,12,4,5,38,57,14,30,4,8,33,72,85,0,8,7,2,24,39,15,33,2,10,35,87,74
Jarkko Nieminen,Julien Benneteau,Sydney,9-Jan-12,Hard,Finals,77,49,0,2,13,4,1,32,43,6,11,4,6,25,57,63,0,7,2,3,24,40,8,17,1,1,16,54,48
Potito Starace,Albert Montanes,Auckland,9-Jan-12,Hard,First Round,56,50,0,2,12,4,0,29,36,8,10,3,6,30,67,67,0,5,1,2,19,32,18,35,0,0,9,46,46
Lukas Rosol,Albert Ramos-Vinolas,Auckland,9-Jan-12,Hard,First Round,74,65,0,2,12,5,1,28,37,11,27,5,6,27,54,66,0,6,2,0,18,36,9,18,2,8,25,64,52
Alejandro Falla,Donald Young,Auckland,9-Jan-12,Hard,First Round,80,40,0,2,16,5,5,34,57,21,34,5,11,37,85,92,1,12,4,4,37,53,11,32,3,9,36,91,84
Carlos Berlocq,Filippo Volandri,Auckland,9-Jan-12,Hard,First Round,59,70,1,1,6,2,2,18,33,6,13,4,8,25,45,49,0,5,0,2,12,24,8,21,3,9,22,46,42
Guillermo Garcia-Lopez,Igor Kunitsyn,Auckland,9-Jan-12,Hard,First Round,66,71,0,2,14,3,3,36,56,14,31,6,10,40,87,90,1,12,7,2,32,49,15,38,5,14,37,87,84
Benoit Paire,Juan Carlos Ferrero,Auckland,9-Jan-12,Hard,First Round,92,47,0,2,12,8,0,19,22,20,31,3,8,23,51,62,0,5,0,2,19,33,9,18,0,1,14,53,42
Adrian Mannarino,Kevin Anderson,Auckland,9-Jan-12,Hard,First Round,87,32,0,2,12,3,0,28,31,8,12,3,5,17,46,53,0,6,6,2,20,26,9,20,0,0,7,43,36
Santiago Giraldo,Michael Venus,Auckland,9-Jan-12,Hard,First Round,51,378,0,2,12,2,1,26,35,12,16,3,5,25,59,63,0,7,4,1,19,31,15,28,0,0,13,51,47
Thomaz Bellucci,Rui Machado,Auckland,9-Jan-12,Hard,First Round,38,69,0,2,13,7,2,30,37,22,32,1,6,27,75,79,0,9,1,4,34,50,14,25,0,1,17,69,65
Ryan Harrison,Sam Querrey,Auckland,9-Jan-12,Hard,First Round,84,94,0,2,12,3,0,28,39,11,18,3,7,26,61,65,0,7,3,4,24,39,11,22,1,4,18,57,53
Philipp Kohlschreiber,Stephane Bohli,Auckland,9-Jan-12,Hard,First Round,42,218,0,2,16,13,2,29,38,28,45,3,7,33,91,90,1,14,6,3,41,55,17,36,2,6,26,83,84
Olivier Rochus,Tobias Kamke,Auckland,9-Jan-12,Hard,First Round,68,95,0,2,13,0,3,29,44,9,20,5,14,37,79,75,0,9,0,5,27,40,15,39,3,6,26,64,68
Guillermo Garcia-Lopez,Adrian Mannarino,Auckland,9-Jan-12,Hard,Second Round,66,87,0,2,12,2,2,24,38,15,26,5,12,38,75,77,0,5,5,0,30,56,7,19,1,6,25,64,62
Fernando Verdasco,Carlos Berlocq,Auckland,9-Jan-12,Hard,Second Round,24,59,0,2,14,6,3,36,56,14,25,4,13,37,86,87,0,11,2,0,35,57,14,29,3,11,31,81,80
Benoit Paire,Juan Ignacio Chela,Auckland,9-Jan-12,Hard,Second Round,92,29,0,2,17,12,3,36,48,18,40,7,13,47,97,101,1,11,0,2,33,61,17,36,4,10,34,88,84
David Ferrer,Lukas Rosol,Auckland,9-Jan-12,Hard,Second Round,5,74,0,2,12,5,1,33,41,6,12,3,4,19,48,58,0,6,5,2,22,28,7,20,0,0,14,53,43
Alejandro Falla,Potito Starace,Auckland,9-Jan-12,Hard,Second Round,80,56,0,2,13,2,1,21,31,19,24,3,7,31,71,71,0,9,3,1,30,47,10,24,1,1,15,55,55
Philipp Kohlschreiber,Ryan Harrison,Auckland,9-Jan-12,Hard,Second Round,42,84,0,2,16,9,3,38,51,18,35,5,8,37,88,93,1,13,6,7,34,52,17,36,3,7,30,86,81
Nicolas Almagro,Santiago Giraldo,Auckland,9-Jan-12,Hard,Second Round,10,51,0,2,12,11,0,24,27,12,15,3,8,28,64,64,0,6,7,2,19,35,17,29,0,0,6,42,42
Olivier Rochus,Thomaz Bellucci,Auckland,9-Jan-12,Hard,Second Round,68,38,0,2,19,0,3,50,74,31,42,1,10,47,138,128,1,19,17,3,58,76,33,62,2,3,35,116,126
David Ferrer,Alejandro Falla,Auckland,9-Jan-12,Hard,Quarter-finals,5,80,0,2,16,0,4,37,60,16,33,6,8,41,88,94,1,13,2,3,34,60,13,28,5,9,40,93,87
Olivier Rochus,Benoit Paire,Auckland,9-Jan-12,Hard,Quarter-finals,68,92,0,2,19,2,4,57,84,22,40,4,6,39,107,118,1,16,21,6,48,62,20,45,3,9,45,124,113
Fernando Verdasco,Guillermo Garcia-Lopez,Auckland,9-Jan-12,Hard,Quarter-finals,24,66,0,2,13,4,3,29,38,16,24,3,8,41,93,86,0,9,2,4,33,57,19,36,1,4,17,62,69
