tournament,men_women,match_date,player_1,player_1_odds,player_2,player_2_odds
Australian Open 2012,Women,2012-01-17,Johanna Larsson,12,Kaia Kanepi,1.06
Australian Open 2012,Women,2012-01-17,Dominika Cibulkova,1.16,Magdalena Rybarikova,6.2
Australian Open 2012,Women,2012-01-17,Greta Arn,2.14,Rebecca Marino,1.81
Australian Open 2012,Women,2012-01-17,Barbora Zahlavova Strycova,1.33,Iryna Bremond,3.75
Australian Open 2012,Women,2012-01-17,Serena Williams,1.09,Tamira Paszek,11
Australian Open 2012,Women,2012-01-17,Isabella Holland,12.5,Shahar Peer,1.06
Australian Open 2012,Women,2012-01-17,Silvia Soler Espinosa,2.18,Sloane Stephens,1.7000000000000002
Australian Open 2012,Women,2012-01-17,Chanelle Scheepers,3.65,Svetlana Kuznetsova,1.36
Australian Open 2012,Women,2012-01-17,Angelique Kerber,1.05,Bojana Bobusic,14
Australian Open 2012,Women,2012-01-17,Elena Vesnina,1.44,Stephanie Dubois,2.7800000000000002
Australian Open 2012,Women,2012-01-17,Gisela Dulko,5,Maria Sharapova,1.2
Australian Open 2012,Women,2012-01-17,Samantha Stosur,1.24,Sorana Cirstea,4.199999999999999
Australian Open 2012,Women,2012-01-17,Alexandra Cadantu,5.699999999999999,Roberta Vinci,1.15
Australian Open 2012,Women,2012-01-17,Jie Zheng,1.11,Madison Keys,6.800000000000001
Australian Open 2012,Women,2012-01-17,Anna Chakvetadze,1.82,Jelena Dokic,2.1
Australian Open 2012,Women,2012-01-17,Marion Bartoli,1.1400000000000001,Virginie Razzano,5.8
Australian Open 2012,Women,2012-01-17,Anastasia Pavlyuchenkova,1.36,Klara Zakopalova,3.5
Australian Open 2012,Women,2012-01-17,Kateryna Bondarenko,2.7800000000000002,Vania King,1.51
Australian Open 2012,Women,2012-01-17,Kristina Barrois,2.32,Michaella Krajicek,1.62
Australian Open 2012,Women,2012-01-17,Ana Ivanovic,1.07,Lourdes Dominguez Lino,7.6000000000000005
Australian Open 2012,Women,2012-01-17,Jarmila Gajdosova,2.24,Maria Kirilenko,1.75
Australian Open 2012,Women,2012-01-17,Aleksandra Wozniak,1.7000000000000002,Shuai Zhang,2.36
Australian Open 2012,Women,2012-01-17,Carla Suarez Navarro,2.04,Irina Camelia Begu,1.81
Australian Open 2012,Women,2012-01-17,Petra Kvitova,1.05,Vera Dushevina,17.5
Australian Open 2012,Women,2012-01-16,Irena Pavlovic,4.1,Marina Erakovic,1.3
Australian Open 2012,Women,2012-01-16,Kai Chen Chang,2.32,Petra Martic,1.69
Australian Open 2012,Women,2012-01-16,Jelena Jankovic,1.18,Laura Robson,5.8
Australian Open 2012,Women,2012-01-16,Kim Clijsters,1.02,Maria Joao Koehler,29
Australian Open 2012,Women,2012-01-16,Daniela Hantuchova,1.24,Varvara Lepchenko,4.5
Australian Open 2012,Women,2012-01-16,Flavia Pennetta,1.1400000000000001,Nina Bratchikova,7.2
Australian Open 2012,Women,2012-01-16,Paula Ormaechea,2.5,Simona Halep,1.51
Australian Open 2012,Women,2012-01-17,Sabine Lisicki,1.19,Stefanie Voegele,5
Australian Open 2012,Women,2012-01-17,Jamie Hampton,1.47,Mandy Minella,2.72
Australian Open 2012,Women,2012-01-17,Alison Riske,1.9300000000000002,Urszula Radwanska,1.94
Australian Open 2012,Women,2012-01-17,Sara Errani,1.29,Valeria Savinykh,3.6999999999999997
Australian Open 2012,Women,2012-01-17,Andrea Hlavackova,3.0999999999999996,Nadia Petrova,1.4100000000000001
Australian Open 2012,Women,2012-01-18,Casey Dellacqua,26,Victoria Azarenka,1.03
Australian Open 2012,Women,2012-01-18,Daniela Hantuchova,1.21,Lesia Tsurenko,5.199999999999999
Australian Open 2012,Women,2012-01-18,Agnieszka Radwanska,1.03,Paula Ormaechea,17
Australian Open 2012,Women,2012-01-18,Eleni Daniilidou,3.25,Julia Goerges,1.4100000000000001
Australian Open 2012,Women,2012-01-18,Francesca Schiavone,1.21,Romina Oprandi,4.3
Australian Open 2012,Women,2012-01-18,Anabel Medina Garrigues,1.6,Olga Govortsova,2.5
Australian Open 2012,Women,2012-01-18,Jelena Jankovic,1.08,Kai Chen Chang,10.5
Australian Open 2012,Women,2012-01-18,Kim Clijsters,1.02,Stephanie Foretz Gacon,30
Australian Open 2012,Women,2012-01-18,Na Li,1.03,Olivia Rogowska,11
Australian Open 2012,Women,2012-01-18,Mona Barthel,1.33,Petra Cetkovska,3.4
Australian Open 2012,Women,2012-01-18,Alberta Brianti,2.6,Nina Bratchikova,1.57
Australian Open 2012,Women,2012-01-18,Iveta Benesova,3.0999999999999996,Shuai Peng,1.44
Australian Open 2012,Women,2012-01-18,Galina Voskoboeva,1.6099999999999999,Tsvetana Pironkova,2.56
Australian Open 2012,Women,2012-01-18,Christina McHale,1.47,Marina Erakovic,2.96
Australian Open 2012,Women,2012-01-18,Anna Tatishvili,27,Caroline Wozniacki,1.03
Australian Open 2012,Women,2012-01-18,Monica Niculescu,1.27,Pauline Parmentier,4
Australian Open 2012,Women,2012-01-19,Anastasia Pavlyuchenkova,1.6800000000000002,Vania King,2.34
Australian Open 2012,Women,2012-01-19,Aleksandra Wozniak,4,Maria Kirilenko,1.29
Australian Open 2012,Women,2012-01-19,Carla Suarez Navarro,15,Petra Kvitova,1.04
Australian Open 2012,Women,2012-01-19,Sabine Lisicki,1.6600000000000001,Shahar Peer,2.38
Australian Open 2012,Women,2012-01-19,Dominika Cibulkova,1.13,Greta Arn,7.2
Australian Open 2012,Women,2012-01-19,Jamie Hampton,17,Maria Sharapova,1.06
Australian Open 2012,Women,2012-01-19,Lucie Hradecka,4.5,Vera Zvonareva,1.24
Australian Open 2012,Women,2012-01-19,Jelena Dokic,5.699999999999999,Marion Bartoli,1.19
Australian Open 2012,Women,2012-01-19,Ekaterina Makarova,5.1,Kaia Kanepi,1.18
Australian Open 2012,Women,2012-01-19,Sloane Stephens,5.8999999999999995,Svetlana Kuznetsova,1.12
Australian Open 2012,Women,2012-01-19,Angelique Kerber,1.1400000000000001,Stephanie Dubois,6.800000000000001
Australian Open 2012,Women,2012-01-19,Sorana Cirstea,1.46,Urszula Radwanska,2.98
Australian Open 2012,Women,2012-01-19,Nadia Petrova,1.75,Sara Errani,2.3
Australian Open 2012,Women,2012-01-19,Ana Ivanovic,1.13,Michaella Krajicek,7.6000000000000005
Australian Open 2012,Women,2012-01-19,Jie Zheng,1.5,Roberta Vinci,2.9
Australian Open 2012,Women,2012-01-19,Barbora Zahlavova Strycova,13,Serena Williams,1.02
Australian Open 2012,Women,2012-01-20,Anabel Medina Garrigues,5.6,Na Li,1.18
Australian Open 2012,Women,2012-01-20,Daniela Hantuchova,6.2,Kim Clijsters,1.19
Australian Open 2012,Women,2012-01-20,Iveta Benesova,1.54,Nina Bratchikova,2.7800000000000002
Australian Open 2012,Women,2012-01-20,Julia Goerges,1.6,Romina Oprandi,2.62
Australian Open 2012,Women,2012-01-20,Christina McHale,3.65,Jelena Jankovic,1.35
Australian Open 2012,Women,2012-01-20,Caroline Wozniacki,1.13,Monica Niculescu,8
Australian Open 2012,Women,2012-01-20,Agnieszka Radwanska,1.19,Galina Voskoboeva,5.5
Australian Open 2012,Women,2012-01-20,Mona Barthel,9.4,Victoria Azarenka,1.11
Australian Open 2012,Women,2012-01-21,Ekaterina Makarova,4.199999999999999,Vera Zvonareva,1.28
Australian Open 2012,Women,2012-01-21,Angelique Kerber,4.5,Maria Sharapova,1.26
Australian Open 2012,Women,2012-01-21,Sara Errani,1.6400000000000001,Sorana Cirstea,2.48
Australian Open 2012,Women,2012-01-21,Ana Ivanovic,1.27,Vania King,4.3
Australian Open 2012,Women,2012-01-21,Greta Arn,21,Serena Williams,1.04
Australian Open 2012,Women,2012-01-21,Maria Kirilenko,4.699999999999999,Petra Kvitova,1.26
Australian Open 2012,Women,2012-01-21,Jie Zheng,3.0999999999999996,Marion Bartoli,1.43
Australian Open 2012,Women,2012-01-21,Sabine Lisicki,1.8,Svetlana Kuznetsova,2.18
Australian Open 2012,Women,2012-01-22,Iveta Benesova,15.5,Victoria Azarenka,1.06
Australian Open 2012,Women,2012-01-22,Agnieszka Radwanska,1.19,Julia Goerges,5.699999999999999
Australian Open 2012,Women,2012-01-22,Caroline Wozniacki,1.55,Jelena Jankovic,2.76
Australian Open 2012,Women,2012-01-22,Kim Clijsters,1.65,Na Li,2.44
Australian Open 2012,Women,2012-01-23,Ana Ivanovic,3.0999999999999996,Petra Kvitova,1.45
Australian Open 2012,Women,2012-01-23,Jie Zheng,1.57,Sara Errani,2.66
Australian Open 2012,Women,2012-01-23,Maria Sharapova,1.37,Sabine Lisicki,3.5999999999999996
Australian Open 2012,Women,2012-01-23,Ekaterina Makarova,11,Serena Williams,1.09
Australian Open 2012,Women,2012-01-24,Agnieszka Radwanska,3,Victoria Azarenka,1.47
Australian Open 2012,Women,2012-01-24,Caroline Wozniacki,1.72,Kim Clijsters,2.34
Australian Open 2012,Women,2012-01-25,Petra Kvitova,1.12,Sara Errani,8.4
Australian Open 2012,Women,2012-01-25,Ekaterina Makarova,4.3999999999999995,Maria Sharapova,1.28
Australian Open 2012,Women,2012-01-26,Kim Clijsters,2.1,Victoria Azarenka,1.87
Australian Open 2012,Women,2012-01-26,Maria Sharapova,2.22,Petra Kvitova,1.78
Australian Open 2012,Women,2012-01-28,Maria Sharapova,2.4,Victoria Azarenka,1.69
Australian Open 2013,Women,2013-01-15,Monica Niculescu,25,Victoria Azarenka,1.02
Australian Open 2013,Women,2013-01-15,Eleni Daniilidou,2.24,Karolina Pliskova,1.76
Australian Open 2013,Women,2013-01-14,Na Li,1.03,Sesil Karatantcheva,19
Australian Open 2013,Women,2013-01-15,Jamie Hampton,1.44,Urszula Radwanska,3.15
Australian Open 2013,Women,2013-01-14,Olga Govortsova,1.63,Pauline Parmentier,2.42
Australian Open 2013,Women,2013-01-15,Polona Hercog,3.3,Varvara Lepchenko,1.4
Australian Open 2013,Women,2013-01-15,Caroline Garcia,7.800000000000001,Elena Vesnina,1.06
Australian Open 2013,Women,2013-01-14,Kristyna Pliskova,1.87,Sacha Jones,1.04
Australian Open 2013,Women,2013-01-15,Roberta Vinci,1.12,Silvia Soler Espinosa,7.800000000000001
Australian Open 2013,Women,2013-01-15,Caroline Wozniacki,1.4100000000000001,Sabine Lisicki,2.96
Australian Open 2013,Women,2013-01-14,Coco Vandeweghe,2.16,Sorana Cirstea,1.77
Australian Open 2013,Women,2013-01-15,Andrea Hlavackova,1.82,Donna Vekic,2.12
Australian Open 2013,Women,2013-01-14,Romina Oprandi,2.46,Tsvetana Pironkova,1.6
Australian Open 2013,Women,2013-01-15,Lara Arruabarrena Vecino,3.3,Su Wei Hsieh,1.4
Australian Open 2013,Women,2013-01-14,Jie Zheng,1.15,Yuxuan Zhang,6.4
Australian Open 2013,Women,2013-01-14,Kai Chen Chang,4.3,Samantha Stosur,1.26
Australian Open 2013,Women,2013-01-14,Ana Ivanovic,1.06,Melinda Czink,15
Australian Open 2013,Women,2013-01-14,Jelena Jankovic,1.42,Johanna Larsson,3.0999999999999996
Australian Open 2013,Women,2013-01-15,Lourdes Dominguez Lino,5.699999999999999,Svetlana Kuznetsova,1.17
Australian Open 2013,Women,2013-01-15,Christina McHale,1.5899999999999999,Yulia Putintseva,2.6
Australian Open 2013,Women,2013-01-15,Carla Suarez Navarro,8.4,Sara Errani,1.1
Australian Open 2013,Women,2013-01-15,Edina Gallovits Hall,90,Serena Williams,1.01
Australian Open 2013,Women,2013-01-15,Garbine Muguruza,2.08,Magdalena Rybarikova,1.84
Australian Open 2013,Women,2013-01-14,Ksenia Pervak,2.86,Mona Barthel,1.46
Australian Open 2013,Women,2013-01-15,Anna Tatishvili,2.66,Ayumi Morita,1.54
Australian Open 2013,Women,2013-01-14,Alexandra Cadantu,2.76,Heather Watson,1.17
Australian Open 2013,Women,2013-01-14,Arantxa Rus,2.7,Irina Camelia Begu,1.52
Australian Open 2013,Women,2013-01-15,Annika Beck,2.4,Yaroslava Shvedova,1.62
Australian Open 2013,Women,2013-01-15,Jarmila Gajdosova,3.0999999999999996,Yanina Wickmayer,1.45
Australian Open 2013,Women,2013-01-14,Agnieszka Radwanska,1.02,Bojana Bobusic,46
Australian Open 2013,Women,2013-01-15,Rebecca Marino,5.8999999999999995,Shuai Peng,1.18
Australian Open 2013,Women,2013-01-14,Angelique Kerber,1.1,Elina Svitolina,8.4
Australian Open 2013,Women,2013-01-15,Maria Kirilenko,1.34,Vania King,3.8499999999999996
Australian Open 2013,Women,2013-01-14,Kiki Bertens,1.74,Lucie Hradecka,2.12
Australian Open 2013,Women,2013-01-15,Kimiko Date Krumm,3.05,Nadia Petrova,1.32
Australian Open 2013,Women,2013-01-15,Alexandra Panova,1.8,Shahar Peer,2.2
Australian Open 2013,Women,2013-01-15,Bojana Jovanovski,1.44,Maria Teresa Torro Flor,2.84
Australian Open 2013,Women,2013-01-15,Lucie Safarova,1.2,Mirjana Lucic Baroni,5.3
Australian Open 2013,Women,2013-01-14,Casey Dellacqua,5,Madison Keys,1.22
Australian Open 2013,Women,2013-01-15,Simona Halep,3.9,Sloane Stephens,1.33
Australian Open 2013,Women,2013-01-15,Kristina Mladenovic,1.9300000000000002,Timea Babos,1.92
Australian Open 2013,Women,2013-01-15,Laura Robson,1.27,Melanie Oudin,4.199999999999999
Australian Open 2013,Women,2013-01-14,Stefanie Voegele,1.65,Tamira Paszek,2.36
Australian Open 2013,Women,2013-01-15,Francesca Schiavone,4.3999999999999995,Petra Kvitova,1.27
Australian Open 2013,Women,2013-01-14,Camila Giorgi,1.35,Stephanie Foretz Gacon,3.25
Australian Open 2013,Women,2013-01-14,Anabel Medina Garrigues,3.4,Marion Bartoli,1.3900000000000001
Australian Open 2013,Women,2013-01-14,Ashleigh Barty,5.699999999999999,Dominika Cibulkova,1.18
Australian Open 2013,Women,2013-01-14,Kirsten Flipkens,1.25,Nina Bratchikova,4.5
Australian Open 2013,Women,2013-01-14,Chanelle Scheepers,2.8,Klara Zakopalova,1.54
Australian Open 2013,Women,2013-01-14,Galina Voskoboeva,4.699999999999999,Venus Williams,1.23
Australian Open 2013,Women,2013-01-14,Alize Cornet,2.04,Marina Erakovic,1.9100000000000001
Australian Open 2013,Women,2013-01-14,Misaki Doi,1.62,Petra Martic,2.12
Australian Open 2013,Women,2013-01-14,Maria Sharapova,1.02,Olga Puchkova,30
Australian Open 2013,Women,2013-01-15,Luksika Kumkhum,3.3,Sofia Arvidsson,1.38
Australian Open 2013,Women,2013-01-15,Akgul Amanmuradova,1.81,Mathilde Johansson,1.94
Australian Open 2013,Women,2013-01-15,Daria Gavrilova,2.74,Lauren Davis,1.48
Australian Open 2013,Women,2013-01-15,Anastasia Pavlyuchenkova,1.3900000000000001,Lesia Tsurenko,2.86
Australian Open 2013,Women,2013-01-15,Greta Arn,1.6800000000000002,Jana Cepelova,2.04
Australian Open 2013,Women,2013-01-14,Julia Goerges,1.43,Vera Dushevina,3.1999999999999997
Australian Open 2013,Women,2013-01-14,Daniela Hantuchova,1.5899999999999999,Yung Jan Chan,2.22
Australian Open 2013,Women,2013-01-14,Karin Knapp,1.9500000000000002,Maria Joao Koehler,1.8900000000000001
Australian Open 2013,Women,2013-01-14,Ekaterina Makarova,1.16,Michelle Larcher De Brito,6.2
Australian Open 2013,Women,2013-01-14,Olivia Rogowska,5.1,Vesna Dolonc,1.18
Australian Open 2013,Women,2013-01-14,Mandy Minella,2.06,Valeria Savinykh,1.9
Australian Open 2013,Women,2013-01-16,Kristyna Pliskova,2.66,Sorana Cirstea,1.57
Australian Open 2013,Women,2013-01-16,Na Li,1.06,Olga Govortsova,13.5
Australian Open 2013,Women,2013-01-16,Julia Goerges,1.47,Romina Oprandi,3.0999999999999996
Australian Open 2013,Women,2013-01-16,Kirsten Flipkens,2.38,Klara Zakopalova,1.69
Australian Open 2013,Women,2013-01-16,Alize Cornet,13,Venus Williams,1.07
Australian Open 2013,Women,2013-01-16,Jelena Jankovic,1.17,Maria Joao Koehler,6
Australian Open 2013,Women,2013-01-16,Maria Sharapova,1.02,Misaki Doi,46
Australian Open 2013,Women,2013-01-16,Agnieszka Radwanska,1.03,Irina Camelia Begu,25
Australian Open 2013,Women,2013-01-16,Jie Zheng,3.25,Samantha Stosur,1.4100000000000001
Australian Open 2013,Women,2013-01-16,Dominika Cibulkova,1.09,Valeria Savinykh,9.600000000000001
Australian Open 2013,Women,2013-01-16,Angelique Kerber,1.11,Lucie Hradecka,9
Australian Open 2013,Women,2013-01-16,Marion Bartoli,1.35,Vesna Dolonc,3.6999999999999997
Australian Open 2013,Women,2013-01-16,Ekaterina Makarova,1.07,Stephanie Foretz Gacon,8
Australian Open 2013,Women,2013-01-16,Heather Watson,2.52,Ksenia Pervak,1.58
Australian Open 2013,Women,2013-01-16,Ana Ivanovic,1.19,Yung Jan Chan,5.5
Australian Open 2013,Women,2013-01-16,Madison Keys,1.35,Tamira Paszek,3.65
Australian Open 2013,Women,2013-01-17,Maria Kirilenko,1.71,Shuai Peng,2.06
Australian Open 2013,Women,2013-01-17,Su Wei Hsieh,3.1999999999999997,Svetlana Kuznetsova,1.35
Australian Open 2013,Women,2013-01-17,Kimiko Date Krumm,1.3900000000000001,Shahar Peer,3.0999999999999996
Australian Open 2013,Women,2013-01-17,Elena Vesnina,1.47,Varvara Lepchenko,2.8
Australian Open 2013,Women,2013-01-17,Bojana Jovanovski,2.64,Lucie Safarova,1.55
Australian Open 2013,Women,2013-01-17,Carla Suarez Navarro,1.6800000000000002,Yulia Putintseva,1.28
Australian Open 2013,Women,2013-01-17,Caroline Wozniacki,1.1,Donna Vekic,9.4
Australian Open 2013,Women,2013-01-17,Laura Robson,3.15,Petra Kvitova,1.45
Australian Open 2013,Women,2013-01-17,Annika Beck,1.71,Ayumi Morita,2.26
Australian Open 2013,Women,2013-01-17,Akgul Amanmuradova,6.4,Roberta Vinci,1.16
Australian Open 2013,Women,2013-01-17,Garbine Muguruza,32,Serena Williams,1.02
Australian Open 2013,Women,2013-01-17,Kristina Mladenovic,7,Sloane Stephens,1.1400000000000001
Australian Open 2013,Women,2013-01-17,Eleni Daniilidou,70,Victoria Azarenka,1.01
Australian Open 2013,Women,2013-01-17,Jamie Hampton,1.22,Luksika Kumkhum,5
Australian Open 2013,Women,2013-01-17,Daria Gavrilova,3.5,Lesia Tsurenko,1.37
Australian Open 2013,Women,2013-01-17,Jana Cepelova,5.3,Yanina Wickmayer,1.18
Australian Open 2013,Women,2013-01-18,Kirsten Flipkens,1.22,Valeria Savinykh,5.3999999999999995
Australian Open 2013,Women,2013-01-18,Angelique Kerber,1.43,Madison Keys,3.25
Australian Open 2013,Women,2013-01-18,Ekaterina Makarova,2.34,Marion Bartoli,1.6800000000000002
Australian Open 2013,Women,2013-01-18,Jie Zheng,2.58,Julia Goerges,1.6099999999999999
Australian Open 2013,Women,2013-01-18,Na Li,1.08,Sorana Cirstea,11
Australian Open 2013,Women,2013-01-18,Agnieszka Radwanska,1.03,Heather Watson,19.5
Australian Open 2013,Women,2013-01-18,Ana Ivanovic,1.36,Jelena Jankovic,3.65
Australian Open 2013,Women,2013-01-18,Maria Sharapova,1.27,Venus Williams,4.5
Australian Open 2013,Women,2013-01-19,Elena Vesnina,1.76,Roberta Vinci,2.2800000000000002
Australian Open 2013,Women,2013-01-19,Jamie Hampton,13.5,Victoria Azarenka,1.04
Australian Open 2013,Women,2013-01-19,Ayumi Morita,36,Serena Williams,1.02
Australian Open 2013,Women,2013-01-19,Carla Suarez Navarro,5.1,Svetlana Kuznetsova,1.22
Australian Open 2013,Women,2013-01-19,Maria Kirilenko,1.56,Yanina Wickmayer,2.7
Australian Open 2013,Women,2013-01-19,Caroline Wozniacki,1.12,Lesia Tsurenko,8.2
Australian Open 2013,Women,2013-01-19,Bojana Jovanovski,2.1,Kimiko Date Krumm,1.88
Australian Open 2013,Women,2013-01-19,Laura Robson,2.9,Sloane Stephens,1.51
Australian Open 2013,Women,2013-01-20,Angelique Kerber,1.35,Ekaterina Makarova,3.65
Australian Open 2013,Women,2013-01-20,Julia Goerges,6.2,Na Li,1.18
Australian Open 2013,Women,2013-01-20,Agnieszka Radwanska,1.21,Ana Ivanovic,5.3
Australian Open 2013,Women,2013-01-20,Kirsten Flipkens,21,Maria Sharapova,1.03
Australian Open 2013,Women,2013-01-21,Maria Kirilenko,19,Serena Williams,1.04
Australian Open 2013,Women,2013-01-21,Elena Vesnina,12,Victoria Azarenka,1.07
Australian Open 2013,Women,2013-01-21,Caroline Wozniacki,1.62,Svetlana Kuznetsova,2.52
Australian Open 2013,Women,2013-01-21,Bojana Jovanovski,3.8499999999999996,Sloane Stephens,1.33
Australian Open 2013,Women,2013-01-22,Ekaterina Makarova,10.5,Maria Sharapova,1.08
Australian Open 2013,Women,2013-01-22,Agnieszka Radwanska,1.58,Na Li,2.64
Australian Open 2013,Women,2013-01-23,Svetlana Kuznetsova,8.2,Victoria Azarenka,1.13
Australian Open 2013,Women,2013-01-23,Serena Williams,1.03,Sloane Stephens,21
Australian Open 2013,Women,2013-01-24,Maria Sharapova,1.34,Na Li,3.8
Australian Open 2013,Women,2013-01-24,Sloane Stephens,8,Victoria Azarenka,1.13
Australian Open 2013,Women,2013-01-26,Na Li,2.3,Victoria Azarenka,1.74
Australian Open 2014,Women,2014-01-13,Ashleigh Barty,60,Serena Williams,1.01
Australian Open 2014,Women,2014-01-14,Jelena Jankovic,1.07,Misaki Doi,5.8999999999999995
Australian Open 2014,Women,2014-01-13,Lara Arruabarrena,2.02,Vesna Dolonc,1.8599999999999999
Australian Open 2014,Women,2014-01-13,Karolina Pliskova,1.43,Pauline Parmentier,3.05
Australian Open 2014,Women,2014-01-14,Ayumi Morita,1.71,Nadiya Kichenok,2.1
Australian Open 2014,Women,2014-01-13,Klara Zakopalova,2.74,Samantha Stosur,1.56
Australian Open 2014,Women,2014-01-14,Kurumi Nara,2.48,Shuai Peng,1.56
Australian Open 2014,Women,2014-01-13,Silvia Soler Espinosa,3.9,Tsvetana Pironkova,1.29
Australian Open 2014,Women,2014-01-13,Annika Beck,1.71,Petra Martic,2.34
Australian Open 2014,Women,2014-01-14,Andrea Petkovic,1.28,Magdalena Rybarikova,4
Australian Open 2014,Women,2014-01-13,Ana Ivanovic,1.06,Kiki Bertens,11
Australian Open 2014,Women,2014-01-13,Jie Zheng,2.52,Roberta Vinci,1.62
Australian Open 2014,Women,2014-01-14,Marina Erakovic,2.56,Sorana Cirstea,1.62
Australian Open 2014,Women,2014-01-13,Madison Keys,1.23,Patricia Mayr Achleitner,4.8
Australian Open 2014,Women,2014-01-14,Lesia Tsurenko,2.34,Varvara Lepchenko,1.54
Australian Open 2014,Women,2014-01-13,Casey Dellacqua,2.3,Vera Zvonareva,1.7000000000000002
Australian Open 2014,Women,2014-01-14,Carla Suarez Navarro,1.3900000000000001,Vania King,3.25
Australian Open 2014,Women,2014-01-13,Kirsten Flipkens,1.51,Laura Robson,2.8
Australian Open 2014,Women,2014-01-13,Eugenie Bouchard,1.02,Hao Chen Tang,15.5
Australian Open 2014,Women,2014-01-14,Kristina Mladenovic,1.6,Stefanie Voegele,1.4100000000000001
Australian Open 2014,Women,2014-01-13,Alison Van Uytvanck,1.67,Virginie Razzano,2.26
Australian Open 2014,Women,2014-01-14,Dominika Cibulkova,1.33,Francesca Schiavone,3.65
Australian Open 2014,Women,2014-01-13,Lauren Davis,1.4,Sachia Vickery,3.0999999999999996
Australian Open 2014,Women,2014-01-14,Alize Cornet,1.49,Polona Hercog,2.92
Australian Open 2014,Women,2014-01-13,Julia Goerges,3.4499999999999997,Sara Errani,1.34
Australian Open 2014,Women,2014-01-13,Julia Glushko,9,Lucie Safarova,1.09
Australian Open 2014,Women,2014-01-13,Ekaterina Makarova,2.14,Venus Williams,1.8
Australian Open 2014,Women,2014-01-14,Camila Giorgi,1.58,Storm Sanders,2.64
Australian Open 2014,Women,2014-01-13,Monica Niculescu,1.36,Shahar Peer,3.15
Australian Open 2014,Women,2014-01-13,Mirjana Lucic Baroni,7.4,Sabine Lisicki,1.13
Australian Open 2014,Women,2014-01-14,Karin Knapp,1.6,Paula Ormaechea,2.52
Australian Open 2014,Women,2014-01-13,Angelique Kerber,1.05,Jarmila Gajdosova,8.8
Australian Open 2014,Women,2014-01-14,Bethanie Mattek Sands,11.5,Maria Sharapova,1.08
Australian Open 2014,Women,2014-01-13,Dinah Pfizenmaier,3,Yanina Wickmayer,1.47
Australian Open 2014,Women,2014-01-14,Agnieszka Radwanska,1.04,Yulia Putintseva,17.5
Australian Open 2014,Women,2014-01-13,Alison Riske,1.74,Elena Vesnina,2.14
Australian Open 2014,Women,2014-01-14,Anastasia Pavlyuchenkova,1.22,Teliana Pereira,4.199999999999999
Australian Open 2014,Women,2014-01-13,Alexandra Cadantu,5.199999999999999,Flavia Pennetta,1.2
Australian Open 2014,Women,2014-01-14,Garbine Muguruza,1.8,Kaia Kanepi,2.12
